Period,ISIN,Weights,Start Date,End Date,Country
1,US9311421039,19.07235060%,4/30/2015,4/29/2016,United States
1,US7134481081,21.68630258%,4/30/2015,4/29/2016,United States
1,GB0006731235,2.13831392%,4/30/2015,4/29/2016,United Kingdom
1,US5010441013,4.90963963%,4/30/2015,4/29/2016,United States
1,US3703341046,5.09039953%,4/30/2015,4/29/2016,United States
1,US3444191064,3.02760229%,4/30/2015,4/29/2016,Mexico
1,AU000000WOW2,4.55757835%,4/30/2015,4/29/2016,Australia
1,US55953Q2021,2.47493430%,4/30/2015,4/29/2016,Russia
1,US61174X1090,2.96424840%,4/30/2015,4/29/2016,United States
1,US4878361082,3.45052704%,4/30/2015,4/29/2016,United States
1,US8718291078,3.38781699%,4/30/2015,4/29/2016,United States
1,CA5394811015,1.72991583%,4/30/2015,4/29/2016,Canada
1,US4278661081,1.63022313%,4/30/2015,4/29/2016,United States
1,US5828391061,3.00135198%,4/30/2015,4/29/2016,United States
1,US49271M1009,2.20969506%,4/30/2015,4/29/2016,United States
1,US9668371068,2.64551696%,4/30/2015,4/29/2016,United States
1,US9024941034,1.37207961%,4/30/2015,4/29/2016,United States
1,US2058871029,2.37844525%,4/30/2015,4/29/2016,United States
1,BRJBSSACNOR8,0.78101173%,4/30/2015,4/29/2016,Brazil
1,KYG9431R1039,0.96854873%,4/30/2015,4/29/2016,Cayman Islands
1,US4404521001,1.12922542%,4/30/2015,4/29/2016,United States
1,US49271V1008,2.20647210%,4/30/2015,4/29/2016,United States
1,US1344291091,1.21142790%,4/30/2015,4/29/2016,United States
1,KYG8878S1030,0.61544666%,4/30/2015,4/29/2016,Cayman Islands
1,CA8029121057,1.17207693%,4/30/2015,4/29/2016,Canada
1,TH0737010Y08,0.94354136%,4/30/2015,4/29/2016,Thailand
1,PHY9297P1004,0.73167117%,4/30/2015,4/29/2016,Philippines
1,CA9611485090,0.59920571%,4/30/2015,4/29/2016,Canada
1,GB00BDCPN049,1.46908032%,4/30/2015,4/29/2016,United Kingdom
1,KYG960071028,0.44535051%,4/30/2015,4/29/2016,Cayman Islands
2,US9311421039,23.44415008%,4/29/2016,4/28/2017,United States
2,US5007541064,19.54987255%,4/29/2016,4/28/2017,United States
2,US5010441013,6.90724320%,4/29/2016,4/28/2017,United States
2,US61174X1090,4.13436468%,4/29/2016,4/28/2017,United States
2,US8718291078,5.34948891%,4/29/2016,4/28/2017,United States
2,US9024941034,3.14240529%,4/29/2016,4/28/2017,United States
2,CA5394811015,2.45521477%,4/29/2016,4/28/2017,Canada
2,US4404521001,2.15012506%,4/29/2016,4/28/2017,United States
2,US4278661081,2.09938689%,4/29/2016,4/28/2017,United States
2,US2058871029,3.97321765%,4/29/2016,4/28/2017,United States
2,US1344291091,2.38571568%,4/29/2016,4/28/2017,United States
2,US49271V1008,3.42276965%,4/29/2016,4/28/2017,United States
2,JP3119600009,1.91141318%,4/29/2016,4/28/2017,Japan
2,JP3336560002,1.14088655%,4/29/2016,4/28/2017,Japan
2,JP3388200002,2.15816766%,4/29/2016,4/28/2017,Japan
2,CA8029121057,1.66848302%,4/29/2016,4/28/2017,Canada
2,US5797802064,2.22232460%,4/29/2016,4/28/2017,United States
2,KYG960071028,0.86839066%,4/29/2016,4/28/2017,Cayman Islands
2,TH0737010Y08,1.31072824%,4/29/2016,4/28/2017,Thailand
2,CA9611485090,0.83162073%,4/29/2016,4/28/2017,Canada
