Period,ISIN,Weights,Start Date,End Date,Country
1,US9311421039,10.8898159842667%,4/30/2019,3/18/2020,United States
1,CH0038863350,22.7031316204569%,4/30/2019,3/18/2020,Switzerland
1,US7134481081,13.8008821972947%,4/30/2019,3/18/2020,United States
1,US6092071058,5.6446595337992%,4/30/2019,3/18/2020,United States
1,FR0000120644,4.2115732867034%,4/30/2019,3/18/2020,France
1,US49271V1008,0.4555542386168%,4/30/2019,3/18/2020,United States
1,US8718291078,2.7779269574078%,4/30/2019,3/18/2020,United States
1,US61174X1090,1.7969878421804%,4/30/2019,3/18/2020,United States
1,GB0008847096,2.3617967155298%,4/30/2019,3/18/2020,United Kingdom
1,JP3422950000,1.7785512651337%,4/30/2019,3/18/2020,Japan
1,AU000000WES1,2.1854223188026%,4/30/2019,3/18/2020,Australia
1,NL0011794037,1.7493779844153%,4/30/2019,3/18/2020,Netherlands
1,US9024941034,1.3439631955427%,4/30/2019,3/18/2020,United States
1,GB0006731235,0.8859281957303%,4/30/2019,3/18/2020,United Kingdom
1,US4278661081,1.0088498046615%,4/30/2019,3/18/2020,United States
1,GB00BDCPN049,0.9065833369294%,4/30/2019,3/18/2020,United Kingdom
1,US0394831020,1.9178809303314%,4/30/2019,3/18/2020,United States
1,TH0737010Y08,1.0192845564236%,4/30/2019,3/18/2020,Thailand
1,US4404521001,0.8537614919183%,4/30/2019,3/18/2020,United States
1,US4878361082,1.5708305050996%,4/30/2019,3/18/2020,United States
1,US5010441013,1.5741902509436%,4/30/2019,3/18/2020,United States
1,US5797802064,1.4488046798966%,4/30/2019,3/18/2020,United States
1,IE0004906560,1.3100949074793%,4/30/2019,3/18/2020,Ireland
1,CA1380351009,0.7965917316329%,4/30/2019,3/18/2020,Canada
1,KYG960071028,0.8599406993607%,4/30/2019,3/18/2020,Cayman Islands
1,SG1T56930848,0.3708334153292%,4/30/2019,3/18/2020,Singapore
1,JP3388200002,0.8986019359501%,4/30/2019,3/18/2020,Japan
1,FR0000120172,0.8980544377081%,4/30/2019,3/18/2020,France
1,KYG210961051,0.7676316818099%,4/30/2019,3/18/2020,Cayman Islands
1,US8326964058,1.0259866141626%,4/30/2019,3/18/2020,United States
1,TW0001216000,0.9201391494720%,4/30/2019,3/18/2020,Taiwan
1,CA8029121057,0.5844288712603%,4/30/2019,3/18/2020,Canada
1,PHY7510J1668,0.7650040204831%,4/30/2019,3/18/2020,Philippines
1,CH0198251305,0.5293556659083%,4/30/2019,3/18/2020,Switzerland
1,JP3918000005,0.7297030735552%,4/30/2019,3/18/2020,Japan
1,US1344291091,0.4989707628885%,4/30/2019,3/18/2020,United States
1,JP3931600005,0.6675696833619%,4/30/2019,3/18/2020,Japan
1,US28414H1032,0.8858035026460%,4/30/2019,3/18/2020,United States
1,NO0003054108,0.7333827925816%,4/30/2019,3/18/2020,Norway
1,BMG2624N1535,0.1812185307146%,4/30/2019,3/18/2020,Bermuda
1,MXP495211262,0.7992146100854%,4/30/2019,3/18/2020,Mexico
1,BE0974256852,0.3131138083333%,4/30/2019,3/18/2020,Belgium
1,PTJMT0AE0001,0.3059630448589%,4/30/2019,3/18/2020,Portugal
1,US5132721045,0.7840345909268%,4/30/2019,3/18/2020,United States
1,CH0009002962,0.2465382032118%,4/30/2019,3/18/2020,Switzerland
1,MX01AC100006,0.1691669200974%,4/30/2019,3/18/2020,Mexico
1,KYG9431R1039,0.3350747915423%,4/30/2019,3/18/2020,Cayman Islands
1,KYG2743Y1061,0.1125621506405%,4/30/2019,3/18/2020,Cayman Islands
1,TW0002912003,0.3929828297119%,4/30/2019,3/18/2020,Taiwan
1,KYG8878S1030,0.2322806822036%,4/30/2019,3/18/2020,Cayman Islands
