Period,ISIN,Weights,Start Date,End Date,Country
2,US7743411016,3.2303494397637000000%,03/31/2016,09/30/2016,United States
2,US8086251076,0.6426069847970150000%,03/31/2016,09/30/2016,United States
2,US6687711084,6.5946667977821600000%,03/31/2016,09/30/2016,United States
2,US8936411003,5.6547501334138600000%,03/31/2016,09/30/2016,United States
2,US8968181011,1.3041335152365700000%,03/31/2016,09/30/2016,United States
2,US92343X1000,1.1001931234491600000%,03/31/2016,09/30/2016,United States
3,US0021211018,0.1376847426579400000%,09/30/2016,03/31/2017,United States
3,US0078001056,0.2257350342235970000%,09/30/2016,03/31/2017,United States
3,US05464C1018,1.0864617866746900000%,09/30/2016,03/31/2017,United States
3,US0683231049,0.2859913325073960000%,09/30/2016,03/31/2017,United States
3,US0995021062,1.2294552308023700000%,09/30/2016,03/31/2017,United States
3,US1271903049,0.8191286191002530000%,09/30/2016,03/31/2017,United States
3,IL0010824113,4.5429146359342100000%,09/30/2016,03/31/2017,Israel
3,US12650T1043,1.5278867738663500000%,09/30/2016,03/31/2017,United States
3,US2296691064,0.2967701858304530000%,09/30/2016,03/31/2017,United States
3,US2315611010,0.8128443740605840000%,09/30/2016,03/31/2017,United States
3,IL0011334468,1.3360789671085800000%,09/30/2016,03/31/2017,Israel
3,IL0010811243,0.0656247248646213000%,09/30/2016,03/31/2017,Israel
3,US29286C1071,0.1960017172734780000%,09/30/2016,03/31/2017,United States
3,US2974251009,0.7135858454233650000%,09/30/2016,03/31/2017,United States
3,US31816Q1013,3.5065613880066100000%,09/30/2016,03/31/2017,United States
3,US3024451011,1.1882787673261900000%,09/30/2016,03/31/2017,United States
3,US34959E1091,2.2390688077381700000%,09/30/2016,03/31/2017,United States
3,US3695501086,8.0000000000000000000%,09/30/2016,03/31/2017,United States
3,US4464131063,2.2982808066084300000%,09/30/2016,03/31/2017,United States
3,US45321L1008,1.3964115462761400000%,09/30/2016,03/31/2017,United States
3,US4835481031,0.2164625289897840000%,09/30/2016,03/31/2017,United States
3,US5024131071,3.9695447039853500000%,09/30/2016,03/31/2017,United States
3,US5024311095,3.3718477586389900000%,09/30/2016,03/31/2017,United States
3,US53224V1008,0.8801934711004780000%,09/30/2016,03/31/2017,United States
3,US5398301094,8.0000000000000000000%,09/30/2016,03/31/2017,United States
3,US54142L1098,1.0892678799162900000%,09/30/2016,03/31/2017,United States
3,US5645631046,0.1535012771845480000%,09/30/2016,03/31/2017,United States
3,GB00BYT5JK65,0.0844783246677187000%,09/30/2016,03/31/2017,Jersey
3,US6153942023,0.3970700815379230000%,09/30/2016,03/31/2017,United States
3,US6668071029,8.0000000000000000000%,09/30/2016,03/31/2017,United States
3,US68557N1037,2.1936072505759500000%,09/30/2016,03/31/2017,United States
3,US68287N1000,0.1842803636377970000%,09/30/2016,03/31/2017,United States
3,US6974351057,8.0000000000000000000%,09/30/2016,03/31/2017,United States
3,US7434241037,1.9787140596934400000%,09/30/2016,03/31/2017,United States
3,US74758T3032,0.4363647415471310000%,09/30/2016,03/31/2017,United States
3,IL0010834765,0.0891594815189757000%,09/30/2016,03/31/2017,Israel
3,US7534221046,0.1350294184859030000%,09/30/2016,03/31/2017,United States
3,US7551115071,8.0000000000000000000%,09/30/2016,03/31/2017,United States
3,US7743411016,3.0741011071408100000%,09/30/2016,03/31/2017,United States
3,US8086251076,0.7009225026099100000%,09/30/2016,03/31/2017,United States
3,US81374A1051,0.0196405532249149000%,09/30/2016,03/31/2017,United States
3,US6687711084,8.0000000000000000000%,09/30/2016,03/31/2017,United States
3,US8936411003,6.8879150277364800000%,09/30/2016,03/31/2017,United States
3,US8968181011,1.1177292147381800000%,09/30/2016,03/31/2017,United States
3,US9222801022,0.1312486669084160000%,09/30/2016,03/31/2017,United States
3,US92343X1000,0.9841562998776040000%,09/30/2016,03/31/2017,United States
4,US0021211018,0.1300555459461130000%,03/31/2017,09/29/2017,United States
4,US0078001056,0.3080697924425160000%,03/31/2017,09/29/2017,United States
4,US05464C1018,0.9792640260777240000%,03/31/2017,09/29/2017,United States
4,US0683231049,0.4293882088817940000%,03/31/2017,09/29/2017,United States
4,US0995021062,1.8317288396763700000%,03/31/2017,09/29/2017,United States
4,US1271903049,0.7175478104993130000%,03/31/2017,09/29/2017,United States
4,IL0010824113,3.7020173270686000000%,03/31/2017,09/29/2017,Israel
4,US12650T1043,1.4768595557365600000%,03/31/2017,09/29/2017,United States
4,US2296691064,0.3034679260954780000%,03/31/2017,09/29/2017,United States
4,US2315611010,0.9405118963581360000%,03/31/2017,09/29/2017,United States
4,IL0011334468,0.8632875809712750000%,03/31/2017,09/29/2017,Israel
4,IL0010811243,0.0856421107925446000%,03/31/2017,09/29/2017,Israel
4,US29286C1071,0.1588028820494770000%,03/31/2017,09/29/2017,United States
4,US2974251009,0.5007207146024290000%,03/31/2017,09/29/2017,United States
4,US31816Q1013,2.2366349955148000000%,03/31/2017,09/29/2017,United States
4,US3024451011,0.9886684486287060000%,03/31/2017,09/29/2017,United States
4,US34959E1091,2.7323130526170500000%,03/31/2017,09/29/2017,United States
4,US3695501086,8.0000000000000000000%,03/31/2017,09/29/2017,United States
4,US4464131063,3.1257937341213700000%,03/31/2017,09/29/2017,United States
4,US45321L1008,1.2240748552321000000%,03/31/2017,09/29/2017,United States
4,US4835481031,0.2599832159694120000%,03/31/2017,09/29/2017,United States
4,US5024131071,3.6008114027471000000%,03/31/2017,09/29/2017,United States
4,US5024311095,2.9311343905543900000%,03/31/2017,09/29/2017,United States
4,US5398301094,8.0000000000000000000%,03/31/2017,09/29/2017,United States
4,US54142L1098,2.6239640255589600000%,03/31/2017,09/29/2017,United States
4,US5645631046,0.1484808503244780000%,03/31/2017,09/29/2017,United States
4,GB00BYT5JK65,0.1429478017099730000%,03/31/2017,09/29/2017,Jersey
4,US6153942023,0.2732152248674890000%,03/31/2017,09/29/2017,United States
4,US6668071029,8.0000000000000000000%,03/31/2017,09/29/2017,United States
4,US68557N1037,1.3196618437725000000%,03/31/2017,09/29/2017,United States
4,US68287N1000,0.1076596505072260000%,03/31/2017,09/29/2017,United States
4,US6974351057,8.0000000000000000000%,03/31/2017,09/29/2017,United States
4,US7434241037,1.9012576469184500000%,03/31/2017,09/29/2017,United States
4,US74758T3032,0.3601774853449670000%,03/31/2017,09/29/2017,United States
4,IL0010834765,0.1178015210411980000%,03/31/2017,09/29/2017,Israel
4,US7534221046,0.0895816879198121000%,03/31/2017,09/29/2017,United States
4,US7551115071,8.0000000000000000000%,03/31/2017,09/29/2017,United States
4,US7743411016,4.9007296616789400000%,03/31/2017,09/29/2017,United States
4,US8086251076,1.0400884029646400000%,03/31/2017,09/29/2017,United States
4,US81374A1051,0.0393275586128581000%,03/31/2017,09/29/2017,United States
4,US6687711084,7.6905362673191400000%,03/31/2017,09/29/2017,United States
4,US8936411003,8.0000000000000000000%,03/31/2017,09/29/2017,United States
4,US8968181011,0.7841758727425190000%,03/31/2017,09/29/2017,United States
4,US9222801022,0.2739578168841530000%,03/31/2017,09/29/2017,United States
4,US92343X1000,0.6596583692494250000%,03/31/2017,09/29/2017,United States
5,US0021211018,0.1272856130396620000%,09/29/2017,03/29/2018,United States
5,US0003611052,0.2328001843785170000%,09/29/2017,03/29/2018,United States
5,US0078001056,0.5929319556724230000%,09/29/2017,03/29/2018,United States
5,US05464C1018,0.6557482634062320000%,09/29/2017,03/29/2018,United States
5,US0683231049,0.4798499934964500000%,09/29/2017,03/29/2018,United States
5,US0995021062,1.4693017383127400000%,09/29/2017,03/29/2018,United States
5,US1271903049,0.6144460102605170000%,09/29/2017,03/29/2018,United States
5,CA1247651088,0.1729605226118110000%,09/29/2017,03/29/2018,Canada
5,US1413371055,0.2941282260976490000%,09/29/2017,03/29/2018,United States
5,IL0010824113,3.0700103659454700000%,09/29/2017,03/29/2018,Israel
5,US12650T1043,1.1466179156036200000%,09/29/2017,03/29/2018,United States
5,US2296691064,0.2091572492840820000%,09/29/2017,03/29/2018,United States
5,US2315611010,0.7495493395006510000%,09/29/2017,03/29/2018,United States
5,IL0011334468,1.2450590396508600000%,09/29/2017,03/29/2018,Israel
5,IL0010811243,0.0751253475415456000%,09/29/2017,03/29/2018,Israel
5,US29286C1071,0.1320941120892650000%,09/29/2017,03/29/2018,United States
5,US2974251009,0.5154557040335130000%,09/29/2017,03/29/2018,United States
5,US31816Q1013,3.0053496826353700000%,09/29/2017,03/29/2018,United States
5,US3024451011,1.4147757102076800000%,09/29/2017,03/29/2018,United States
5,US34959E1091,1.8634928913651100000%,09/29/2017,03/29/2018,United States
5,US3695501086,7.7163148621271000000%,09/29/2017,03/29/2018,United States
5,US4464131063,2.3012614976670200000%,09/29/2017,03/29/2018,United States
5,US45321L1008,0.6180736307723490000%,09/29/2017,03/29/2018,United States
5,US4835481031,0.3778595439211530000%,09/29/2017,03/29/2018,United States
5,US50077B2079,0.6803644603756240000%,09/29/2017,03/29/2018,United States
5,US5024131071,3.5881828914261300000%,09/29/2017,03/29/2018,United States
