Period,ISIN,Weights,Start Date,End Date,Country
1,US5949181045,4.90000000000000%,12/31/2015,12/30/2016,United States
1,US00206R1023,4.90000000000000%,12/31/2015,12/30/2016,United States
1,US92343V1044,4.90000000000000%,12/31/2015,12/30/2016,United States
1,US20030N1019,4.90000000000000%,12/31/2015,12/30/2016,United States
1,US88732J2078,4.90000000000000%,12/31/2015,12/30/2016,United States
1,US79466L3024,4.90000000000000%,12/31/2015,12/30/2016,United States
1,US64110L1061,4.90000000000000%,12/31/2015,12/30/2016,United States
1,US00724F1012,4.90000000000000%,12/31/2015,12/30/2016,United States
1,AEE000401019,4.90000000000000%,12/31/2015,12/30/2016,United Arab Emirates
1,CNE1000002V2,0.30000000000000%,12/31/2015,12/30/2016,China
1,GB00B8W67B19,4.28122881200745%,12/31/2015,12/30/2016,United Kingdom
1,US53578A1088,4.24300701259111%,12/31/2015,12/30/2016,United States
1,US00507V1098,3.68851470464151%,12/31/2015,12/30/2016,United States
1,US25470M1099,1.13711257866828%,12/31/2015,12/30/2016,United States
1,US9285634021,0.30000000000000%,12/31/2015,12/30/2016,United States
1,ID1000129000,1.96552237110522%,12/31/2015,12/30/2016,Indonesia
1,US16119P1084,2.82673997641772%,12/31/2015,12/30/2016,United States
1,US7043261079,3.18259288179241%,12/31/2015,12/30/2016,United States
1,NL0011333752,0.94047192440802%,12/31/2015,12/30/2016,Netherlands
1,US98138H1014,0.96331599736824%,12/31/2015,12/30/2016,United States
1,US7565771026,2.81201664609507%,12/31/2015,12/30/2016,United States
1,IL0010824113,1.96061555852169%,12/31/2015,12/30/2016,Israel
1,KR7034730002,1.55758174531359%,12/31/2015,12/30/2016,South Korea
1,US81762P1021,2.41199518394596%,12/31/2015,12/30/2016,United States
1,US0527691069,2.55897781453472%,12/31/2015,12/30/2016,United States
1,US1773761002,2.10358368220443%,12/31/2015,12/30/2016,United States
1,CA21037X1006,1.49524024175202%,12/31/2015,12/30/2016,Canada
1,US12686C1099,1.02249323486775%,12/31/2015,12/30/2016,United States
1,US44970B1098,1.55046529131697%,12/31/2015,12/30/2016,United States
1,US03662Q1058,1.52316645274628%,12/31/2015,12/30/2016,United States
1,US64118Q1076,0.69461962138837%,12/31/2015,12/30/2016,United States
1,US22160N1090,1.21242340905015%,12/31/2015,12/30/2016,United States
1,US9022521051,1.05997846513311%,12/31/2015,12/30/2016,United States
1,US04685W1036,1.15398008818006%,12/31/2015,12/30/2016,United States
1,CA6837151068,1.06524304316959%,12/31/2015,12/30/2016,Canada
1,GB00BGDT3G23,1.06772757295481%,12/31/2015,12/30/2016,United Kingdom
1,US90385D1072,0.99517831586538%,12/31/2015,12/30/2016,United States
1,US5303073051,0.64583223212305%,12/31/2015,12/30/2016,United States
1,GB00BJ1F4N75,0.69572235063404%,12/31/2015,12/30/2016,United Kingdom
1,US3802371076,0.30000000000000%,12/31/2015,12/30/2016,United States
1,HK0008011667,0.44430486685858%,12/31/2015,12/30/2016,Hong Kong
1,US9224751084,0.30000000000000%,12/31/2015,12/30/2016,United States
1,US83421A1043,0.68127698761199%,12/31/2015,12/30/2016,United States
1,PLCFRPT00013,0.30000000000000%,12/31/2015,12/30/2016,Poland
1,US6983541078,0.52307893618720%,12/31/2015,12/30/2016,United States
1,US58471A1051,0.48521096904550%,12/31/2015,12/30/2016,United States
1,US7434241037,0.47625189805050%,12/31/2015,12/30/2016,United States
1,US9682232064,0.37452913344922%,12/31/2015,12/30/2016,United States
1,US45781D1019,0.30000000000000%,12/31/2015,12/30/2016,United States
1,US98936J1016,0.30000000000000%,12/31/2015,12/30/2016,United States
2,US00206R1023,4.90000000000000%,12/30/2016,12/29/2017,United States
2,US92343V1044,4.90000000000000%,12/30/2016,12/29/2017,United States
2,US20030N1019,4.90000000000000%,12/30/2016,12/29/2017,United States
2,DE0007164600,4.90000000000000%,12/30/2016,12/29/2017,Germany
2,US16119P1084,4.90000000000000%,12/30/2016,12/29/2017,United States
2,US64110L1061,4.90000000000000%,12/30/2016,12/29/2017,United States
2,US00724F1012,4.90000000000000%,12/30/2016,12/29/2017,United States
2,US79466L3024,4.90000000000000%,12/30/2016,12/29/2017,United States
2,AEE000401019,4.90000000000000%,12/30/2016,12/29/2017,United Arab Emirates
2,CNE1000002V2,0.30000000000000%,12/30/2016,12/29/2017,China
2,US9285634021,0.30000000000000%,12/30/2016,12/29/2017,United States
2,ID1000129000,2.66122777200631%,12/30/2016,12/29/2017,Indonesia
2,GB00B8W67B19,3.49192838845287%,12/30/2016,12/29/2017,United Kingdom
2,US25470M1099,1.20107023675964%,12/30/2016,12/29/2017,United States
2,US00507V1098,4.79159959158611%,12/30/2016,12/29/2017,United States
2,NL0011333752,1.71879156581285%,12/30/2016,12/29/2017,Netherlands
2,NO0010063308,2.01557639907328%,12/30/2016,12/29/2017,Norway
2,US7043261079,3.78502566756955%,12/30/2016,12/29/2017,United States
2,US0527691069,3.19125930722893%,12/30/2016,12/29/2017,United States
2,IL0010824113,2.11204585025654%,12/30/2016,12/29/2017,Israel
2,US1773761002,2.68397690114565%,12/30/2016,12/29/2017,United States
2,KR7034730002,1.47283412033254%,12/30/2016,12/29/2017,South Korea
2,US98138H1014,0.99016595442938%,12/30/2016,12/29/2017,United States
2,US7565771026,2.43345946910173%,12/30/2016,12/29/2017,United States
2,US81762P1021,2.29541495153065%,12/30/2016,12/29/2017,United States
2,NL0000395903,2.13260997843563%,12/30/2016,12/29/2017,Netherlands
2,CA21037X1006,1.79660598771210%,12/30/2016,12/29/2017,Canada
2,CA6837151068,1.54481959158879%,12/30/2016,12/29/2017,Canada
2,US03662Q1058,1.53777553250294%,12/30/2016,12/29/2017,United States
2,GB00BMJ6DW54,1.34634559200401%,12/30/2016,12/29/2017,United Kingdom
2,GB00BJ1F4N75,1.16237049428369%,12/30/2016,12/29/2017,United Kingdom
2,US22160N1090,1.16881274958426%,12/30/2016,12/29/2017,United States
2,US3802371076,0.30789316789657%,12/30/2016,12/29/2017,United States
2,US9224751084,0.55779763129862%,12/30/2016,12/29/2017,United States
2,GB00BZ09BD16,0.30000000000000%,12/30/2016,12/29/2017,United Kingdom
2,US90385D1072,0.98075005283103%,12/30/2016,12/29/2017,United States
2,IL0002300114,0.75349914482115%,12/30/2016,12/29/2017,Israel
2,US9022521051,0.92905825005689%,12/30/2016,12/29/2017,United States
2,GB00BGDT3G23,0.86273924252511%,12/30/2016,12/29/2017,United Kingdom
2,US04685W1036,0.79944146106321%,12/30/2016,12/29/2017,United States
2,CA82509L1076,0.48294042648407%,12/30/2016,12/29/2017,Canada
2,PLCFRPT00013,0.30000000000000%,12/30/2016,12/29/2017,Poland
2,US6983541078,0.56163809422932%,12/30/2016,12/29/2017,United States
2,US7434241037,0.56776380039005%,12/30/2016,12/29/2017,United States
2,US58471A1051,0.53283670997070%,12/30/2016,12/29/2017,United States
2,US7055731035,0.30000000000000%,12/30/2016,12/29/2017,United States
2,US54142L1098,0.46186123401897%,12/30/2016,12/29/2017,United States
2,US75606N1090,0.32314627582000%,12/30/2016,12/29/2017,United States
2,US21925Y1038,0.41712782341798%,12/30/2016,12/29/2017,United States
2,US98936J1016,0.32779058377885%,12/30/2016,12/29/2017,United States
3,US00206R1023,4.90000000000000%,12/29/2017,12/31/2018,United States
3,US20030N1019,4.90000000000000%,12/29/2017,12/31/2018,United States
3,DE0007164600,4.90000000000000%,12/29/2017,12/31/2018,Germany
3,ZAE000015889,4.90000000000000%,12/29/2017,12/31/2018,South Africa
3,JP3735400008,4.32324632826446%,12/29/2017,12/31/2018,Japan
3,US16119P1084,4.28078066820817%,12/29/2017,12/31/2018,United States
3,US00724F1012,4.90000000000000%,12/29/2017,12/31/2018,United States
3,DE0005557508,4.39863866371936%,12/29/2017,12/31/2018,Germany
3,US64110L1061,4.90000000000000%,12/29/2017,12/31/2018,United States
3,US0567521085,3.57781580614039%,12/29/2017,12/31/2018,Cayman Islands
3,US79466L3024,4.90000000000000%,12/29/2017,12/31/2018,United States
3,US9285634021,0.30000000000000%,12/29/2017,12/31/2018,United States
3,US00507V1098,3.38660382767840%,12/29/2017,12/31/2018,United States
3,CA05534B7604,3.31764458391365%,12/29/2017,12/31/2018,Canada
3,AEE000401019,3.16972688280722%,12/29/2017,12/31/2018,United Arab Emirates
3,US4612021034,2.93259703605856%,12/29/2017,12/31/2018,United States
3,CNE1000002V2,0.30000000000000%,12/29/2017,12/31/2018,China
3,GB0030913577,2.34866706604499%,12/29/2017,12/31/2018,United Kingdom
3,AU000000TLS2,2.56209608281617%,12/29/2017,12/31/2018,Australia
3,ID1000129000,1.15892684044826%,12/29/2017,12/31/2018,Indonesia
3,US2855121099,2.46710950402929%,12/29/2017,12/31/2018,United States
3,NO0010063308,1.13702415942379%,12/29/2017,12/31/2018,Norway
3,ES0109067019,2.37625424715082%,12/29/2017,12/31/2018,Spain
3,GB00B8W67B19,1.48200122133788%,12/29/2017,12/31/2018,United Kingdom
3,FR0000130650,1.06569119923255%,12/29/2017,12/31/2018,France
3,TW0002412004,1.24188257226167%,12/29/2017,12/31/2018,Taiwan
3,US7043261079,1.66788435050106%,12/29/2017,12/31/2018,United States
3,CA87971M1032,1.72656226556213%,12/29/2017,12/31/2018,Canada
3,US81762P1021,1.66249547424471%,12/29/2017,12/31/2018,United States
3,US25470M1099,0.39228623862726%,12/29/2017,12/31/2018,United States
3,US98138H1014,0.67532425443234%,12/29/2017,12/31/2018,United States
