S.No,Date,Index Value PR,Market CAP PR,Divisor PR,Index Value TR,Market CAP TR,Divisor TR,Index Value NTR,Market CAP NTR,Divisor NTR,ISIN,Currency,Country,TAX,Share PR,Share TR,Share NTR,Local Price,USD PRICE,MCAP PR,MCAP TR,MCAP NTR,Currency Price,Price Date,Weight PR,Weight TR,Weight NTR,Dividend,Special Dividend,Split,Spin
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,KYG8813K1085,HKD,Cayman Islands,0%,6035.722534,6035.722534,6035.722534,4.19,0.53445241,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,BMG570071099,HKD,Bermuda,0%,4300.965548,4300.965548,4300.965548,5.88,0.750019133,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,BMG0171K1018,HKD,Bermuda,0%,3855.133753,3855.133753,3855.133753,6.56,0.83675604,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,HK0000311099,HKD,Hong Kong,0%,3099.225174,3099.225174,3099.225174,8.16,1.040842879,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,KYG368441195,HKD,Cayman Islands,0%,6835.047951,6835.047951,6835.047951,3.7,0.471950815,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,KYG2133W1087,HKD,Cayman Islands,0%,4540.337059,4540.337059,4540.337059,5.57,0.710477308,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,US98887Q1040,USD,Cayman Islands,0%,85.67879022,85.67879022,85.67879022,37.65,37.65,3225.806452,3225.806452,3225.806452,1,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,CNE100003F19,HKD,China (Mainland),,301.9662975,301.9662975,301.9662975,83.75,10.68267048,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,KYG4818G1010,HKD,Cayman Islands,0%,1055.936427,1055.936427,1055.936427,23.95,3.054924871,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,KYG711391022,HKD,Cayman Islands,0%,558.2710247,558.2710247,558.2710247,45.3,5.778208628,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,CNE100003F01,HKD,China (Mainland),,734.0980383,734.0980383,734.0980383,34.45,4.394244751,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-22-2019,1000,100000,100,1000,100000,100,1000,100000,100,KYG2588M1006,HKD,Cayman Islands,0%,2464.88084,2464.88084,2464.88084,10.26,1.308706855,3225.806452,3225.806452,3225.806452,7.8398,08-22-2019,0.032258065,0.032258065,0.032258065,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100000387,HKD,China (Mainland),,772.2038907,772.2038907,772.2038907,32.15,4.099353539,3165.536752,3165.536752,3165.536752,7.8427,08-23-2019,0.030915494,0.030915494,0.030915494,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,US07725L1026,USD,Cayman Islands,0%,22.41077151,22.41077151,22.41077151,142.73,142.73,3198.689418,3198.689418,3198.689418,1,08-23-2019,0.031239272,0.031239272,0.031239272,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100000FN7,HKD,China (Mainland),,876.5919383,876.5919383,876.5919383,29.3,3.73595828,3274.91091,3274.91091,3274.91091,7.8427,08-23-2019,0.031983672,0.031983672,0.031983672,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100000585,HKD,China (Mainland),,2982.273281,2982.273281,2982.273281,8.9,1.134813266,3384.323281,3384.323281,3384.323281,7.8427,08-23-2019,0.033052223,0.033052223,0.033052223,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100001M79,HKD,China (Mainland),,1119.012275,1119.012275,1119.012275,23.7,3.021918472,3381.563865,3381.563865,3381.563865,7.8427,08-23-2019,0.033025274,0.033025274,0.033025274,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE1000012B3,HKD,China (Mainland),,1706.455966,1706.455966,1706.455966,15.08,1.922807197,3281.185812,3281.185812,3281.185812,7.8427,08-23-2019,0.032044955,0.032044955,0.032044955,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,HK1093012172,HKD,Hong Kong,0%,1665.986655,1665.986655,1665.986655,15.7,2.001861604,3335.074717,3335.074717,3335.074717,7.8427,08-23-2019,0.032571248,0.032571248,0.032571248,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE1000023R6,HKD,China (Mainland),,667.2738105,667.2738105,667.2738105,39,4.972777232,3318.204013,3318.204013,3318.204013,7.8427,08-23-2019,0.032406485,0.032406485,0.032406485,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,HK0000056256,HKD,Hong Kong,0%,7416.327689,7416.327689,7416.327689,3.83,0.488352226,3621.780133,3621.780133,3621.780133,7.8427,08-23-2019,0.035371292,0.035371292,0.035371292,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG211081248,HKD,Cayman Islands,0%,2678.991252,2678.991252,2678.991252,9.81,1.250844735,3351.002102,3351.002102,3351.002102,7.8427,08-23-2019,0.0327268,0.0327268,0.0327268,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,CNE100000171,HKD,China (Mainland),,3532.077852,3532.077852,3532.077852,7.2,0.918051181,3242.628245,3242.628245,3242.628245,7.8427,08-23-2019,0.031668391,0.031668391,0.031668391,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG8167W1380,HKD,Cayman Islands,0%,2394.855816,2394.855816,2394.855816,10.78,1.37452663,3291.793094,3291.793094,3291.793094,7.8427,08-23-2019,0.032148548,0.032148548,0.032148548,,,,
1,08-23-2019,1023.932111,102393.2111,100,1023.932111,102393.2111,100,1023.932111,102393.2111,100,KYG970081090,HKD,Cayman Islands,0%,305.6154371,305.6154371,305.6154371,84.8,10.8126028,3304.498332,3304.498332,3304.498332,7.8427,08-23-2019,0.032272631,0.032272631,0.032272631,,,,
