SPY US EQUITY,US78462F1030,2008-03-20,DVD_CASH,0.64195,USD,2008-03-25,2008-04-30,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2007-12-21,DVD_CASH,0.77541,USD,2007-12-26,2008-01-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2007-09-21,DVD_CASH,0.71872,USD,2007-09-25,2007-10-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2007-06-15,DVD_CASH,0.6556,USD,2007-06-19,2007-07-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2007-03-16,DVD_CASH,0.55127,USD,2007-03-20,2007-04-30,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2006-12-15,DVD_CASH,0.79265,USD,2006-12-19,2007-01-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2006-09-15,DVD_CASH,0.57934,USD,2006-09-19,2006-10-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2006-06-16,DVD_CASH,0.55547,USD,2006-06-20,2006-06-16,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2006-03-17,DVD_CASH,0.51947,USD,2006-03-21,2006-04-28,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2005-12-16,DVD_CASH,0.67167,USD,2005-12-20,2006-01-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2005-09-16,DVD_CASH,0.52169,USD,2005-09-20,2005-10-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2005-06-17,DVD_CASH,0.48762,USD,2005-06-21,2005-07-29,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2005-03-18,DVD_CASH,0.46709,USD,2005-03-22,2005-04-29,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2004-12-17,DVD_CASH,0.56789,USD,2004-12-21,2005-01-31,EDI,1000,Quarterly
SPY US EQUITY,US78462F1030,2004-11-15,DVD_CASH,0.35102,USD,2004-11-17,2004-12-02,EDI,1000,Quarterly
