ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Product,Weight
US00287Y1091,,132043927.1,,,711.662774,,,,,,,,,,,93970747449.83977,0.099
US8835561023,,131011779.5,,,416.4149253,,,,,,,,,,,54555260373.91257,0.099
US00846U1016,,26424489.77,,,162.0726909,,,,,,,,,,,4282688162.683422,0.099
US5926881054,,19320430.4,,,143.31391399999998,,,,,,,,,,,2768886500.788585,0.099
US9418481035,,15031252.17,,,116.1445321,,,,,,,,,,,1745797750.1617599,0.099
US7140461093,,10727912.56,,,58.29950491,,,,,,,,,,,625431990.9657707,0.06930320324677842
CA1380351009,,6975045.907000001,,,51.05746736,,,,,,,,,,,356128178.7311541,0.059492396856267
US1488061029,,8128928.04,,,38.12691378,,,,,,,,,,,309930938.5049044,0.04470160598053585
US8101861065,,5948179.2,,,46.834397700000004,,,,,,,,,,,278579390.2436679,0.05426999767558759
US1167941087,,7947527.12,,,32.0529098,,,,,,,,,,,254741369.9104138,0.037543716165858054
US88688T1007,,1437110.82,,,48.22588719,,,,,,,,,,,69305944.2848484,0.05451783213199411
CA05156X1087,,2353509.462,,,25.97444633,,,,,,,,,,,61131105.20786617,0.0295125884929357
US0400476075,,2318951.96,,,22.00080631,,,,,,,,,,,51018812.91415487,0.024992905157472718
US45781V1017,,841263.3344,,,46.8065912,,,,,,,,,,,39376668.9848097,0.05273842711509631
CA22717L1013,,2378257.9280000003,,,8.664179718,,,,,,,,,,,20605654.103950307,0.009845726922149061
CA03765K1049,,1251294.73,,,12.29729634,,,,,,,,,,,15387542.10349029,0.013887369752713678
US1407551092,,781406.46,,,16.03105374,,,,,,,,,,,12526768.953043161,0.018056662873937375
CA4283041099,,515519.7448,,,7.1618864570000005,,,,,,,,,,,3692093.878599216,0.008054884691542754
CA92707Y1088,,309990.887,,,5.271362445,,,,,,,,,,,1634074.3200240387,0.005921840151910937
CA68620P1018,,372572.1598,,,4.078457587,,,,,,,,,,,1519519.7518412864,0.004583333688520099
US98986X1090,,144059.6421,,,8.995213636,,,,,,,,,,,1295847.2570151999,0.010095846456890996
US21833P1030,,335006.14,,,3.3833123069999997,,,,,,,,,,,1133430.396382565,0.003801338507288305
CA3932102088,,166216.6426,,,3.278695167,,,,,,,,,,,544973.7027675863,0.0036803241325207856
