ISIN,MCAP,SMCAP/FFMCAP,Theme,Unnamed: 4,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Score,Weight,Cap
US31816Q1013,,3565.42235,,0.352941176,,,,,,,,,,,35.29411765,0.3,1
US18914U1007,,3285.01316,,0.235294118,,,,,,,,,,,23.52941176,0.3,1
US5184151042,,3002.38384,,0.083333333,,,,,,,,,,,8.333333332999999,0.3,1
US88076W1036,,2995.875,,0.294117647,,,,,,,,,,,29.41176471,0.3,1
US5381461012,,2837.92155,,0.352941176,,,,,,,,,,,35.29411765,0.3,1
US74346Y1038,,2730.3598,,0.352941176,,,,,,,,,,,35.29411765,0.3,1
DE000A2GS401,,2728.371046,,0.294117647,,,,,,,,,,,29.41176471,0.3,1
GB00BV9FP302,,2645.619625,,0.333333333,,,,,,,,,,,33.33333333,0.3,1
TW0002344009,,2548.984417,,0.083333333,,,,,,,,,,,8.333333332999999,0.3,1
US9858171054,,2522.3467219999998,,0.470588235,,,,,,,,,,,47.05882353,0.3,1
US22788C1053,,2515.631777,,0.235294118,,,,,,,,,,,23.52941176,0.3,1
TW0002337003,,2430.3595739999996,,0.083333333,,,,,,,,,,,8.333333332999999,0.3,1
TW0008299009,,2327.102172,,0.083333333,,,,,,,,,,,8.333333332999999,0.3,1
KYG037AX1015,,2037.846843,,0.333333333,,,,,,,,,,,33.33333333,0.3,1
