ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Product,Weight
,,823.9981799999999,,,26.68776078,,,,,,,,,,,21990.66631099538,0.016530145378622647
,,7708.580687000001,,,103.6421726,,,,,,,,,,,798934.0500630806,0.07034615868817266
,,1656.004115,,,49.81809805,,,,,,,,,,,82498.97537227347,0.03121417702485358
,,1582.815992,,,18.99664793,,,,,,,,,,,30068.1981379977,0.011890611075943056
,,712.3597264,,,11.15005652,,,,,,,,,,,7942.851211931736,0.006895508154893172
,,1116.565552,,,9.462845626,,,,,,,,,,,10565.887449885477,0.005885063328353073
,,260.4251506,,,14.9075861,,,,,,,,,,,3882.3103551749664,0.009161189895274069
,,4966.31863,,,38.68720505,,,,,,,,,,,192132.9871824451,0.02534400181115714
,,13925.148790000001,,,122.4207024,,,,,,,,,,,1704726.49589631,0.08965260842848259
,,717.2163747000001,,,13.61575121,,,,,,,,,,,9765.43972165334,0.00842093307490352
,,113402.8477,,,515.2517627000001,,,,,,,,,,,58431017.17262465,0.099
,,106786.9274,,,427.7765454,,,,,,,,,,,45680942.8970526,0.099
,,21187.33065,,,168.0298957,,,,,,,,,,,3560104.959280913,0.099
,,3062.23764,,,158.6287476,,,,,,,,,,,485758.92168677965,0.099
,,13944.32725,,,135.4017021,,,,,,,,,,,1888085.644289412,0.099
,,17934.80127,,,98.98879299,,,,,,,,,,,1775344.330232819,0.07591433224131922
,,9576.66012,,,65.05248434,,,,,,,,,,,622985.5324858027,0.045201387219096605
,,4720.071339,,,39.42484436,,,,,,,,,,,186088.0779081718,0.025743537207426864
,,6630.0325,,,35.29768509,,,,,,,,,,,234024.79932146546,0.023629781074840484
,,6550.24609,,,28.297300699999997,,,,,,,,,,,185354.28326772925,0.018923960774676268
,,2627.7057,,,23.20050197,,,,,,,,,,,60964.09126943023,0.014730921760655115
,,598.6878527000001,,,19.03197205,,,,,,,,,,,11394.210479260919,0.011751256015542036
,,817.30112,,,12.88556898,,,,,,,,,,,10531.389959191258,0.007980455027580241
,,451.82955,,,9.38678933,,,,,,,,,,,4241.228798918701,0.005783971818207825
