ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Weight,Cap,Excess Weight,Total Weight,Cap 2,Excess Weight 2,Total Weight 2
US00123Q3020,181,,,,,,,,,,,,,REITS-Diversified,,AGNC Investment Corp.,0.955425219941349,0,0.0,0.0,0,0,0
US00123Q5009,343,,,,,,,,,,,,,REITS-Residential,,AGNC Investment Corp.,1.8105571847507334,0,0.0,0.0,0,0,0
US02665T7028,283,,,,,,,,,,,,,REITS-Residential,,American Homes 4 Rent,1.493841642228739,0,0.0,0.0,0,0,0
US02665T8018,237,,,,,,,,,,,,,REITS-Residential,,American Homes 4 Rent,1.2510263929618768,0,0.0,0.0,0,0,0
US02665T8760,112,,,,,,,,,,,,,REITS-Residential,,American Homes 4 Rent,0.5912023460410557,0,0.0,0.0,0,0,0
US02665T8844,153,,,,,,,,,,,,,REITS-Residential,,American Homes 4 Rent,0.807624633431085,0,0.0,0.0,0,0,0
US0357108622,421,,,,,,,,,,,,,REITS-Mortgage,,"Annaly Capital Management, Inc.",2.222287390029326,0,0.0,0.0,0,0,0
US0357108705,749,,,,,,,,,,,,,REITS-Mortgage,,"Annaly Capital Management, Inc.",3.9536656891495605,0,0.0,0.0,0,0,0
US0376125045,304,,,,,,,,,,,,,REITS-Mortgage,,Apollo Global Management LLC,1.604692082111437,0,0.0,0.0,0,0,0
US03939A1079,326,,,,,,,,,,,,,REITS-Diversified,,Arch Capital Group Ltd.,1.7208211143695014,0,0.0,0.0,0,0,0
US0423154089,160,,,,,,,,,,,,,REITS-Mortgage,,"ARMOUR Residential REIT, Inc.",0.844574780058651,0,0.0,0.0,0,0,0
US0441036045,117,,,,,,,,,,,,,REITS-Hotels,,"Ashford Hospitality Trust, Inc.",0.6175953079178886,0,0.0,0.0,0,0,0
US0441037035,149,,,,,,,,,,,,,REITS-Hotels,,"Ashford Hospitality Trust, Inc.",0.7865102639296188,0,0.0,0.0,0,0,0
US0441038025,94,,,,,,,,,,,,,REITS-Hotels,,"Ashford Hospitality Trust, Inc.",0.4961876832844575,0,0.0,0.0,0,0,0
US0441038850,132,,,,,,,,,,,,,REITS-Hotels,,"Ashford Hospitality Trust, Inc.",0.696774193548387,0,0.0,0.0,0,0,0
US1011214087,197,,,,,,,,,,,,,REITS-Office Property,,"Boston Properties, Inc.",1.039882697947214,0,0.0,0.0,0,0,0
US1248306052,330,,,,,,,,,,,,,REITS-Shopping Centers,,"CBL & Associates Properties, Inc.",1.7419354838709677,0,0.0,0.0,0,0,0
US1248308033,113,,,,,,,,,,,,,REITS-Regional Malls,,"CBL & Associates Properties, Inc.",0.5964809384164224,0,0.0,0.0,0,0,0
US14067E6059,260,,,,,,,,,,,,,REITS-Mortgage,,Capstead Mortgage Corp.,1.3724340175953078,0,0.0,0.0,0,0,0
US1506025063,114,,,,,,,,,,,,,REITS-Shopping Centers,,"Cedar Realty Trust, Inc.",0.6017595307917889,0,0.0,0.0,0,0,0
US16934Q3074,152,,,,,,,,,,,,,REITS-Mortgage,,Chimera Investment Corp.,0.8023460410557185,0,0.0,0.0,0,0,0
US16934Q4064,341,,,,,,,,,,,,,REITS-Mortgage,,Chimera Investment Corp.,1.8,0,0.0,0.0,0,0,0
