ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,count,weight
US1894641000,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US03152W1099,,,f,,,,,,,,,,,,2.0,0.05
US4529071080,,,f,,,,,,,,,,,,2.0,0.05
US29664W1053,,,c,,,,,,,,,,,,11.0,0.009090909090909092
US0327241065,,,d,,,,,,,,,,,,9.0,0.011111111111111112
US7504692077,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US0143391052,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US5488621013,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US69366J2006,,,e,,,,,,,,,,,,9.0,0.011111111111111112
US40637H1095,,,e,,,,,,,,,,,,9.0,0.011111111111111112
US62857M1053,,,a,,,,,,,,,,,,19.0,0.005263157894736842
JE00BYSS4X48,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US5588681057,,,b,,,,,,,,,,,,20.0,0.005
US24983L1044,,,c,,,,,,,,,,,,11.0,0.009090909090909092
US0044491043,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US00900T1079,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US88322Q1085,,,a,,,,,,,,,,,,19.0,0.005263157894736842
US19459J1043,,,b,,,,,,,,,,,,20.0,0.005
US5034596040,,,b,,,,,,,,,,,,20.0,0.005
US7613301099,,,g,,,,,,,,,,,,6.0,0.016666666666666666
US60468T1051,,,g,,,,,,,,,,,,6.0,0.016666666666666666
US56854Q1013,,,b,,,,,,,,,,,,20.0,0.005
US6515111077,,,b,,,,,,,,,,,,20.0,0.005
BMG0750W2037,,,b,,,,,,,,,,,,20.0,0.005
KYG8807B1068,,,b,,,,,,,,,,,,20.0,0.005
US05070R1041,,,b,,,,,,,,,,,,20.0,0.005
US4622601007,,,b,,,,,,,,,,,,20.0,0.005
VGG111961055,,,b,,,,,,,,,,,,20.0,0.005
US2060221056,,,g,,,,,,,,,,,,6.0,0.016666666666666666
