ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,cap
US1894641000,,97.20336017,,,,,,,,,,,,,,5.0,0.0
US03152W1099,,41.23259229,,,,,,,,,,,,,,5.0,0.0
US4529071080,,37.26684327,,,,,,,,,,,,,,4.816018108485305,0.0
US5488621013,,34.31991314,,,,,,,,,,,,,,4.435184433690369,0.0
US29664W1053,,33.14409232,,,,,,,,,,,,,,4.283232353380617,0.0
US7504692077,,32.84252827,,,,,,,,,,,,,,4.244261037373358,0.0
US0327241065,,25.42868317,,,,,,,,,,,,,,3.2861650699628866,0.0
US62857M1053,,22.97200924,,,,,,,,,,,,,,2.9686875189987543,0.0
US40637H1095,,22.84228926,,,,,,,,,,,,,,2.9519237226077877,0.0
US6515111077,,21.37847342,,,,,,,,,,,,,,2.7627538607589646,0.0
US69366J2006,,19.69712062,,,,,,,,,,,,,,2.5454715577507323,0.0
JE00BYSS4X48,,18.49696615,,,,,,,,,,,,,,2.390374824211391,0.0
US0143391052,,15.19714085,,,,,,,,,,,,,,1.9639362797792923,0.0
BMG0750W2037,,13.62061151,,,,,,,,,,,,,,1.7602003798805619,0.0
US00900T1079,,13.61951801,,,,,,,,,,,,,,1.7600590661727313,0.0
US24983L1044,,13.44544096,,,,,,,,,,,,,,1.737562977115825,0.0
US88322Q1085,,12.48000864,,,,,,,,,,,,,,1.6127995378851163,0.0
US0044491043,,12.26947947,,,,,,,,,,,,,,1.5855927179315576,0.0
US60468T1051,,11.86361266,,,,,,,,,,,,,,1.5331422892104674,0.0
US5034596040,,11.64405378,,,,,,,,,,,,,,1.5047685540298985,0.0
US7613301099,,11.10471291,,,,,,,,,,,,,,1.4350691867465635,0.0
US5588681057,,10.96570679,,,,,,,,,,,,,,1.4171053365148698,0.0
US56854Q1013,,10.06145877,,,,,,,,,,,,,,1.3002487836984502,0.0
US19459J1043,,9.99536888,,,,,,,,,,,,,,1.2917079447354671,0.0
US29251M1062,,9.191280716,,,,,,,,,,,,,,1.1877951144861691,0.0
US38000Q1022,,8.672918916,,,,,,,,,,,,,,1.1208068859029157,0.0
NL0010696654,,8.585224541,,,,,,,,,,,,,,1.109474085457425,0.0
US29428V1044,,8.51269933,,,,,,,,,,,,,,1.1001016058254058,0.0
US05070R1041,,8.501029563,,,,,,,,,,,,,,1.0985935143354284,0.0
VGG111961055,,8.221772911,,,,,,,,,,,,,,1.0625049977094543,0.0
US00448Q2012,,8.151242886,,,,,,,,,,,,,,1.053390357246591,0.0
US00461U1051,,8.09170118,,,,,,,,,,,,,,1.0456957443106747,0.0
