ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,ROE,Debt/Equity,AISC,cap,weight
US8245961003,15273.81299,,,,,3.19790163,4.37089227,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
INE237A01028,44934.80735,,,,,67.59431973,68.68404933,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
ES0130670112,28814.924469999998,,,,,38.88568841,28.83536159,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
FR0000130809,29360.11094,,,,,115.82534409999998,127.88907579999999,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
FR0000120628,66748.51624,,,,,145.82464030000003,155.13854469999998,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
AU000000BHP4,122581.0808,,,,,171.9648309,185.7571026,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
DE0006231004,30477.72013,,,,,132.1548204,170.27406000000002,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
FR0000120172,13878.1667,,,,,39.07098056,38.38374927,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
JP3732000009,65957.38367000001,,,,,94.762764,109.91309809999998,Active Enablers,,,,,,,,,,,,,0.0,1.5625
AU000000WBC1,62319.55025,,,,,152.6325502,142.8818655,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
JP3165700000,18467.39962,,,,,35.16809317,50.08855127,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
US45104G1040,48823.6032,,,,,93.22500855,103.3240907,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
RU0009046510,12218.49491,,,,,15.82214559,15.89057484,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
US16939P1066,109473.3496,,,,,4.31643611,5.7517078,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
US42824C1099,18669.850619999997,,,,,135.141269,115.226476,Active Enablers,,,,,,,,,,,,,0.0,1.5625
ES0144580Y14,75959.27376,,,,,190.0094054,235.48537850000002,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
HK0000069689,125519.0489,,,,,230.04309840000002,265.3875276,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
CH0244767585,50975.700619999996,,,,,207.65604299999998,229.1816216,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
US4567881085,46887.870460000006,,,,,119.19665049999999,127.70908670000001,Active Enablers,,,,,,,,,,,,,0.0,1.5625
IT0005239360,33627.04097,,,,,241.55909739999998,284.15966099999997,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
CH0012138530,35039.36509,,,,,143.4052217,182.302006,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
INE238A01034,29038.44881,,,,,90.50329937,81.87966481,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
SE0000108656,30433.01623,,,,,80.20076138,109.95170690000002,Active Enablers,,,,,,,,,,,,,0.0,1.5625
US4568371037,45046.24742,,,,,32.50497505,30.92246667,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
FI4000297767,35741.493930000004,,,,,61.29476121,83.32673449,Active Enablers,,,,,,,,,,,,,0.0,1.5625
GB0005405286,154828.3641,,,,,129.8185559,139.2922408,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
CNE1000004Y2,24556.00519,,,,,32.4213229,40.06183893,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
ES0113211835,37906.8352,,,,,125.9313618,137.0456391,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
HK2388011192,37976.25678,,,,,33.47530415,41.01152332,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
US97651M1099,21709.76666,,,,,3.54905151,2.6801362,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
US6549022043,24481.3271,,,,,106.6054955,180.83485469999997,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
ES0113900J37,70697.63401000001,,,,,224.4132891,226.9599278,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
FR0000120685,14875.560080000001,,,,,24.72154765,32.03067245,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
GB0031348658,39744.23146,,,,,79.52542845,70.79228236,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
CNE100000205,52829.9032,,,,,13.23690676,15.69889934,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
CNE1000001Z5,142054.1841,,,,,102.04783640000001,127.50501159999999,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
