ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,cap,flag
US21887L1070,,1.9041692940000001,Data Centre Reits,,,,,,,,,,,,0.421402839649657,1,0
US01345P1066,,1.033761126,Data Centre Reits,,,,,,,,,,,,0.22877686106402828,1,0
US16383L1061,,1.177436379,Data Centre Reits,,,,,,,,,,,,0.2605729622785366,1,0
US8051111016,,1.634797298,Data Centre Reits,,,,,,,,,,,,0.3617893775514198,1,0
US03753U1060,,2.938756587,Data Centre Reits,,,,,,,,,,,,0.6503625358853907,1,0
US58549G2093,,2.498082381,Data Centre Reits,,,,,,,,,,,,0.5528389793644977,1,0
US76243J1051,,7.246113445,Data Centre Reits,,,,,,,,,,,,1.6036036248290424,1,0
US14888U1016,,3.042221422,Data Centre Reits,,,,,,,,,,,,0.6732598567329998,1,0
US0396971071,,4.1609360010000005,Data Centre Reits,,,,,,,,,,,,0.9208373708928677,1,0
US3621LQ1099,,2.678821614,Data Centre Reits,,,,,,,,,,,,0.592837537403582,1,0
IL0011327454,,1.722708234,Data Centre Reits,,,,,,,,,,,,0.38124453743840575,1,0
NL0012661870,,1.755935437,Data Centre Reits,,,,,,,,,,,,0.3885978950111467,1,0
US98887Q1040,,5.394921049,Data Centre Reits,,,,,,,,,,,,1.1939248557876945,1,0
US81750R1023,,2.256234199,Data Centre Reits,,,,,,,,,,,,0.49931668437736565,1,0
US6085501095,,1.115194478,Data Centre Reits,,,,,,,,,,,,0.24679849699898423,1,0
US59045L1061,,1.056127561,Data Centre Reits,,,,,,,,,,,,0.2337266726440902,1,0
US68404V1008,,3.8068612269999997,Data Centre Reits,,,,,,,,,,,,0.8424787314157673,1,0
IE00BYQMW233,,4.510021576000001,Data Centre Reits,,,,,,,,,,,,0.9980918739715909,1,0
US14757U1097,,1.793175086,Data Centre Reits,,,,,,,,,,,,0.396839228324106,1,0
