ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Product,Weight
US00287Y1091,,132043927.09000002,,,711.662773975391,,,,,,,,,,,93970747439.4737,0.099
US8835561023,,131011779.52000003,,,416.414925337188,,,,,,,,,,,54555260387.112946,0.099
US00846U1016,,26424489.77,,,162.07269092406202,,,,,,,,,,,4282688163.3192487,0.099
US5926881054,,19320430.401999995,,,143.313913996719,,,,,,,,,,,2768886501.0118227,0.099
US9418481035,,15031252.1664,,,116.14453208421898,,,,,,,,,,,1745797749.5064309,0.099
US7140461093,,10727912.56,,,58.299504905625,,,,,,,,,,,625431990.9188361,0.06930320324204277
CA1380351009,,6975045.906741461,,,51.057467358290495,,,,,,,,,,,356128178.70602983,0.05949239685462218
US1488061029,,8128928.040000001,,,38.12691377890621,,,,,,,,,,,309930938.49601305,0.044701605979569285
US8101861065,,5948179.2,,,46.834397703828095,,,,,,,,,,,278579390.26643807,0.05426999768042346
US1167941087,,7947527.119999998,,,32.0529098012109,,,,,,,,,,,254741369.9200374,0.0375437161675426
US88688T1007,,1437110.8199999998,,,48.2258871855469,,,,,,,,,,,69305944.27844879,0.05451783212739758
CA05156X1087,,2353509.4623322,,,25.9744463292889,,,,,,,,,,,61131105.214821294,0.029512588492414712
US0400476075,,2318951.96,,,22.0008063136719,,,,,,,,,,,51018812.92266983,0.02499290516184132
US45781V1017,,841263.33436,,,46.80659119515631,,,,,,,,,,,39376668.97886261,0.05273842711005499
CA22717L1013,,2378257.9283103202,,,8.664179718385432,,,,,,,,,,,20605654.10755563,0.009845726922681566
CA03765K1049,,1251294.72964724,,,12.297296340618098,,,,,,,,,,,15387542.099925715,0.013887369753496326
US1407551092,,781406.4600000001,,,16.031053743867197,,,,,,,,,,,12526768.956065014,0.0180566628784399
CA4283041099,,515519.7448358061,,,7.1618864568276885,,,,,,,,,,,3692093.8787668254,0.008054884691416322
CA92707Y1088,,309990.886998689,,,5.27136244541621,,,,,,,,,,,1634074.320146149,0.0059218401524269906
CA68620P1018,,372572.15978117194,,,4.078457586961671,,,,,,,,,,,1519519.7517502166,0.004583333688514058
US98986X1090,,144059.6421,,,8.99521363605469,,,,,,,,,,,1295847.2570230782,0.01009584645703536
US21833P1030,,335006.14,,,3.38331230710938,,,,,,,,,,,1133430.396419208,0.003801338507442335
CA3932102088,,166216.64261841698,,,3.2786951670773803,,,,,,,,,,,544973.7028408318,0.003680324132638262
