ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,flag,cap
US00739L1017,,4.409257543,,,,,,,,,,,,,0.404724788455319,0.0,0.0
US13089P1012,,7.266347825,,,,,,,,,,,,,0.6669764824657901,0.0,0.0
US87184Q1076,,3.313127187,,,,,,,,,,,,,0.30411122208384483,0.0,0.0
IE00BYZ5XL97,,1.186770013,,,,,,,,,,,,,0.10893336072397827,0.0,0.0
US74366E1029,,1.845119033,,,,,,,,,,,,,0.16936307372005274,0.0,0.0
US8162121045,,2.533361176,,,,,,,,,,,,,0.23253666995825062,0.0,0.0
US21887L1070,,1.9041692940000001,,,,,,,,,,,,,0.1747832843016274,0.0,0.0
US01345P1066,,1.033761126,,,,,,,,,,,,,0.09488870834907416,0.0,0.0
US16383L1061,,1.177436379,,,,,,,,,,,,,0.10807662849427069,0.0,0.0
US8051111016,,1.634797298,,,,,,,,,,,,,0.15005768752400975,0.0,0.0
US03753U1060,,2.938756587,,,,,,,,,,,,,0.26974782633948996,0.0,0.0
US58549G2093,,2.498082381,,,,,,,,,,,,,0.2292984370575662,0.0,0.0
US76243J1051,,7.246113445,,,,,,,,,,,,,0.6651191731375958,0.0,0.0
US14888U1016,,3.042221422,,,,,,,,,,,,,0.2792448409841479,0.0,0.0
US0396971071,,4.1609360010000005,,,,,,,,,,,,,0.3819314082604147,0.0,0.0
US3621LQ1099,,2.678821614,,,,,,,,,,,,,0.2458884518453464,0.0,0.0
IL0011327454,,1.722708234,,,,,,,,,,,,,0.1581270131709079,0.0,0.0
NL0012661870,,1.755935437,,,,,,,,,,,,,0.16117693088925178,0.0,0.0
US98887Q1040,,5.394921049,,,,,,,,,,,,,0.4951986267520397,0.0,0.0
US81750R1023,,2.256234199,,,,,,,,,,,,,0.20709924516557798,0.0,0.0
US6085501095,,1.115194478,,,,,,,,,,,,,0.10236345797301727,0.0,0.0
US59045L1061,,1.056127561,,,,,,,,,,,,,0.09694171854083439,0.0,0.0
US68404V1008,,3.8068612269999997,,,,,,,,,,,,,0.349430961959196,0.0,0.0
IE00BYQMW233,,4.510021576000001,,,,,,,,,,,,,0.41397389707329335,0.0,0.0
US14757U1097,,1.793175086,,,,,,,,,,,,,0.16459515015104173,0.0,0.0
