ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US21871D1037,,3901.23264,,0.058824,,,,,,,,,,
US9858171054,,3632.23980,,0.470588,,,,,,,,,,
US4435731009,,3626.95260,,0.470588,,,,,,,,,,
NZXROE0001S2,,3528.02697,,0.352941,,,,,,,,,,
TW0002344009,,3229.55504,,0.083333,,,,,,,,,,
US31816Q1013,,2783.58704,,0.352941,,,,,,,,,,
IL0011301780,,2775.14985,,0.352941,,,,,,,,,,
US92343X1000,,2662.85675,,0.352941,,,,,,,,,,
US21925Y1038,,2381.46813,,0.352941,,,,,,,,,,
US29404K1060,,2381.44750,,0.352941,,,,,,,,,,
US74624M1027,,2271.57046,,0.333333,,,,,,,,,,
TW0008299009,,2014.99553,,0.083333,,,,,,,,,,
US90138F1021,,1841.41824,,0.352941,,,,,,,,,,
TW0003443008,,1652.99189,,0.083333,,,,,,,,,,
US88339J1051,,1585.05360,,0.235294,,,,,,,,,,
US4408941031,,1448.50965,,0.166667,,,,,,,,,,
US86800U1043,,1111.41773,,0.083333,,,,,,,,,,
US7055731035,,3959.18100,,0.470588,,,,,,,,,,
US98936J1016,,3982.23612,,0.352941,,,,,,,,,,
DE000A2GS401,,4152.49815,,0.176471,,,,,,,,,,
US26483E1001,,4573.06080,,0.058824,,,,,,,,,,
US09227Q1004,,4607.98380,,0.235294,,,,,,,,,,
US87336U1051,,4931.81648,,0.176471,,,,,,,,,,
US88076W1036,,4941.00000,,0.176471,,,,,,,,,,
US04685W1036,,5014.65558,,0.352941,,,,,,,,,,
US3032501047,,5192.40418,,0.352941,,,,,,,,,,
US67020Y1001,,5226.61165,,0.352941,,,,,,,,,,
US2328061096,,5769.06785,,0.416667,,,,,,,,,,
US9892071054,,6550.75724,,0.470588,,,,,,,,,,
BMG3922B1072,,6551.84548,,0.470588,,,,,,,,,,
US54142L1098,,6621.86040,,0.235294,,,,,,,,,,
US69370C1009,,8440.03768,,0.352941,,,,,,,,,,
US32008D1063,,8548.10880,,0.352941,,,,,,,,,,
CA6837151068,,9125.70807,,0.352941,,,,,,,,,,
US48203R1041,,9804.36720,,0.235294,,,,,,,,,,
CA82509L1076,,11029.00656,,0.352941,,,,,,,,,,
US83304A1060,,12000.50072,,0.470588,,,,,,,,,,
US9285634021,,12767.45302,,0.176471,,,,,,,,,,
US8486371045,,13066.47546,,0.470588,,,,,,,,,,
CA8849031056,,30872.83440,,0.058824,,,,,,,,,,
US0527691069,,25467.27054,,0.058824,,,,,,,,,,
DE0005089031,,14990.73365,,0.058824,,,,,,,,,,
US6974351057,,14506.51643,,0.058824,,,,,,,,,,
US5951121038,,50554.09180,,0.083333,,,,,,,,,,
KR7000660001,,50108.32875,,0.083333,,,,,,,,,,
US8716071076,,13772.40354,,0.083333,,,,,,,,,,
US2124851062,,2150.42724,,0.058824,,,,,,,,,,
US64110D1046,,16407.70800,,0.166667,,,,,,,,,,
US5398301094,,101747.55990,,0.176471,,,,,,,,,,
US6668071029,,59282.18664,,0.176471,,,,,,,,,,
US0079031078,,13256.33826,,0.500000,,,,,,,,,,
GB00BWFY5505,,13342.05204,,0.588235,,,,,,,,,,
US24703L1035,,14293.75350,,0.666667,,,,,,,,,,
US12673P1057,,15004.76655,,0.235294,,,,,,,,,,
IE00B58JVZ52,,15722.45040,,0.416667,,,,,,,,,,
US98138H1014,,16424.93000,,0.352941,,,,,,,,,,
US92345Y1064,,16477.43460,,0.470588,,,,,,,,,,
US8715031089,,16882.10986,,0.352941,,,,,,,,,,
US9839191015,,18606.59130,,0.583333,,,,,,,,,,
US90184L1026,,19171.51314,,0.588235,,,,,,,,,,
GB00B19NLV48,,21229.40357,,0.352941,,,,,,,,,,
US42824C1099,,25698.80000,,0.916667,,,,,,,,,,
US81762P1021,,26007.58900,,0.411765,,,,,,,,,,
US23355L1061,,28398.52895,,0.352941,,,,,,,,,,
US64110L1061,,117296.14440,,0.235294,,,,,,,,,,
US7551115071,,60401.83778,,0.352941,,,,,,,,,,
US67066G1040,,148954.80000,,0.416667,,,,,,,,,,
US88032Q1094,,561096.94827,,0.470588,,,,,,,,,,
US00724F1012,,98197.82104,,0.470588,,,,,,,,,,
US2786421030,,42388.69118,,0.470588,,,,,,,,,,
US7475251036,,101036.27625,,0.500000,,,,,,,,,,
US01609W1027,,524918.45633,,0.705882,,,,,,,,,,
US30303M1027,,447773.86258,,0.705882,,,,,,,,,,
DE0007236101,,129353.69700,,0.705882,,,,,,,,,,
US79466L3024,,82277.19300,,0.705882,,,,,,,,,,
US0567521085,,67717.81000,,0.705882,,,,,,,,,,
US68389X1054,,213562.06718,,0.750000,,,,,,,,,,
US0231351067,,702386.00523,,0.823529,,,,,,,,,,
US02079K3059,,352857.20340,,0.823529,,,,,,,,,,
US5949181045,,731557.23792,,0.833333,,,,,,,,,,
US4581401001,,225295.20000,,0.833333,,,,,,,,,,
US4592001014,,151551.98670,,0.916667,,,,,,,,,,
