ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC),Product,Weight,Cap
US03027X1000,,9580895.68,,,,,,,,,,,,,,0.158160302,,,,1515317.3541792952,4.9,1
US74340W1036,,5169961.524,,,,,,,,,,,,,,0.247502805,,,,1279579.9789320747,4.9,1
US22822V1017,,5668315.542,,,,,,,,,,,,,,0.22231449600000003,,,,1260148.7128886972,4.9,1
US2538681030,,2599178.3619999997,,,,,,,,,,,,,,0.32523351899999997,,,,845339.9251819158,4.9,1
US29444U7000,,4251745.057,,,,,,,,,,,,,,0.154523882,,,,656996.1514819512,4.9,1
US46187W1071,,949745.8296,,,,,,,,,,,,,,0.5644713920000001,,,,536104.3504805069,4.9,1
US0152711091,,1677152.561,,,,,,,,,,,,,,0.230013274,,,,385767.3515530947,4.9,1
US03064D1081,,636544.1893,,,,,,,,,,,,,,0.5644713920000001,,,,359310.98460368253,4.9,1
US7561091049,,2314140.19,,,,,,,,,,,,,,0.102451833,,,,237087.90428446827,4.334492493396209,0
US78573L1061,,354589.5477,,,,,,,,,,,,,,0.5644713920000001,,,,200155.65557886942,3.659289111503786,0
US8666741041,,1141782.91,,,,,,,,,,,,,,0.16890249699999998,,,,192849.98453092625,3.5257252487158435,0
US8621211007,,798310.6748,,,,,,,,,,,,,,0.234555357,,,,187248.0453246249,3.4233093810170803,0
US76169C1009,,421979.1532,,,,,,,,,,,,,,0.409949925,,,,172990.3222059035,3.162646594286007,0
US92936U1097,,1446504.495,,,,,,,,,,,,,,0.10752052,,,,155528.9154847374,2.8434133690168646,0
US26884U1097,,586339.8296,,,,,,,,,,,,,,0.264693837,,,,155200.5392827502,2.837409924063318,0
US46284V1017,,914986.3012,,,,,,,,,,,,,,0.161864971,,,,148104.23110913526,2.7076736787572124,0
US1982872038,,260241.6012,,,,,,,,,,,,,,0.5644713920000001,,,,146898.9388856729,2.685638264885242,0
US23283R1005,,680759.9432,,,,,,,,,,,,,,0.191466475,,,,130342.70664570421,2.3829536358247716,0
US21870Q1058,,435941.9614,,,,,,,,,,,,,,0.26593221300000003,,,,115931.01053466258,2.119475881449474,0
US29472R1086,,1056032.775,,,,,,,,,,,,,,0.09518919099999999,,,,100522.90552173501,1.837781563396614,0
US88146M1018,,299745.6283,,,,,,,,,,,,,,0.311451084,,,,93356.10085829606,1.706756485971995,0
US6374171063,,891024.5802,,,,,,,,,,,,,,0.104512732,,,,93123.4131558551,1.7025024389231593,0
US1331311027,,1027326.437,,,,,,,,,,,,,,0.09009390099999999,,,,92555.84630976073,1.6921260587306681,0
US2644115055,,1163014.004,,,,,,,,,,,,,,0.07380260799999999,,,,85833.46663572242,1.5692260553634898,0
US02665T3068,,653442.9917,,,,,,,,,,,,,,0.125471616,,,,81988.54813247359,1.4989324212772237,0
US42225P5017,,594620.3553,,,,,,,,,,,,,,0.12731282900000002,,,,75702.79961422816,1.3840150034108913,0
US85254J1025,,395823.2871,,,,,,,,,,,,,,0.186681743,,,,73892.98115581743,1.3509275097824567,0
US45781V1017,,124546.115,,,,,,,,,,,,,,0.5644713920000001,,,,70302.7189022421,1.285289556490778,0
US5128161099,,716657.6891,,,,,,,,,,,,,,0.097063161,,,,69561.06065900123,1.2717303996131002,0
US0084921008,,254375.5127,,,,,,,,,,,,,,0.224443447,,,,57092.91690278027,1.0437850909689215,0
US71943U1043,,338747.9086,,,,,,,,,,,,,,0.160511014,,,,54372.770299765325,0.994054780739519,0
US55303A1051,,287805.5256,,,,,,,,,,,,,,0.18178993699999998,,,,52320.14836707588,0.9565283013272765,0
US74965L1017,,310857.6618,,,,,,,,,,,,,,0.166862747,,,,51870.56337394497,0.9483088909623707,0
US25960P1093,,674309.9027,,,,,,,,,,,,,,0.073831507,,,,49785.31630136437,0.9101859516658464,0
US14174T1079,,235419.6427,,,,,,,,,,,,,,0.19990546,,,,47061.67196697914,0.8603916951528316,0
US0389231087,,103564.5614,,,,,,,,,,,,,,0.347818312,,,,36021.65092916836,0.6585556358239208,0
US6097201072,,125037.7014,,,,,,,,,,,,,,0.24589076699999998,,,,30745.616301162972,0.5620980263182555,0
