ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,flag,cap
US13089P1012,,7.266347825,,,,,,,,,,,,,,0.7387884980994723,0.0,0.0
US87184Q1076,,3.313127187,,,,,,,,,,,,,,0.33685426536765867,0.0,0.0
IE00BYZ5XL97,,1.186770013,,,,,,,,,,,,,,0.12066199645401111,0.0,0.0
US74366E1029,,1.845119033,,,,,,,,,,,,,,0.18759805503871824,0.0,0.0
US8162121045,,2.533361176,,,,,,,,,,,,,,0.25757342525239674,0.0,0.0
US21887L1070,,1.9041692940000001,,,,,,,,,,,,,,0.19360184878589856,0.0,0.0
US01345P1066,,1.033761126,,,,,,,,,,,,,,0.10510518462156873,0.0,0.0
US16383L1061,,1.177436379,,,,,,,,,,,,,,0.1197130215892316,0.0,0.0
US8051111016,,1.634797298,,,,,,,,,,,,,,0.1662140967613941,0.0,0.0
US03753U1060,,2.938756587,,,,,,,,,,,,,,0.29879103195691864,0.0,0.0
US58549G2093,,2.498082381,,,,,,,,,,,,,,0.2539865383319637,0.0,0.0
US76243J1051,,7.246113445,,,,,,,,,,,,,,0.7367312160135885,0.0,0.0
US14888U1016,,3.042221422,,,,,,,,,,,,,,0.30931057105643317,0.0,0.0
US0396971071,,4.1609360010000005,,,,,,,,,,,,,,0.4230531943833579,0.0,0.0
US3621LQ1099,,2.678821614,,,,,,,,,,,,,,0.2723627666259513,0.0,0.0
IL0011327454,,1.722708234,,,,,,,,,,,,,,0.17515223046186262,0.0,0.0
NL0012661870,,1.755935437,,,,,,,,,,,,,,0.1785305266832407,0.0,0.0
US98887Q1040,,5.394921049,,,,,,,,,,,,,,0.5485156663493382,0.0,0.0
US81750R1023,,2.256234199,,,,,,,,,,,,,,0.22939720412294964,0.0,0.0
US6085501095,,1.115194478,,,,,,,,,,,,,,0.1133847254952243,0.0,0.0
US59045L1061,,1.056127561,,,,,,,,,,,,,,0.10737923828916748,0.0,0.0
US68404V1008,,3.8068612269999997,,,,,,,,,,,,,,0.38705349043326925,0.0,0.0
IE00BYQMW233,,4.510021576000001,,,,,,,,,,,,,,0.45854563348393734,0.0,0.0
US14757U1097,,1.793175086,,,,,,,,,,,,,,0.18231677873407223,0.0,0.0
