ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC),Weight,Comp,Cap,Flag
BMG162581083,,8333.46865,,,,,,,,,,,,,,Brookfield Renewable Partners LP,,,,,10.370350659808926,3,1,1
CA6665111002,,3748.235683,,,,,,,,,,,,,,Northland Power Inc,,,,,10.0,13,2,1
US88104R2094,,3417.0122,,,,,,,,,,,,,,Terraform Power Inc,,,,,9.0,16,3,1
US65341B1061,,3227.917209,,,,,,,,,,,,,,Nextera Energy Partners LP,,,,,8.0,12,4,1
CA8934631091,,2975.830871,,,,,,,,,,,,,,Transalta Renewables Inc.,,,,,7.0,17,5,1
GB00B8SC6K54,,2934.635525,,,,,,,,,,,,,,Greencoat Uk Wind PLC,,,,,4.75,7,1,0
GG00BBHX2H91,,2773.46065,,,,,,,,,,,,,,Renewables Infrastructure Group Limited Gbp Red Shs,,,,,4.75,15,1,0
US70338P1003,,2674.0928,,,,,,,,,,,,,,Pattern Energy Group Inc,,,,,4.75,14,1,0
GB00BLP5YB54,,2584.74623,,,,,,,,,,,,,,Atlantica Yield Plc,,,,,4.75,1,1,0
US41068X1000,,1983.7776,,,,,,,,,,,,,,Hannon Armstrong Sustainable Infrastructure Capital Inc,,,,,4.75,8,1,0
CA45790B1040,,1783.8559489999998,,,,,,,,,,,,,,Innergex Renewable Energy Inc,,,,,4.75,9,1,0
CA1366351098,,1212.144386,,,,,,,,,,,,,,Canadian Solar Inc,,,,,4.75,4,1,0
GG00BJ0JVY01,,945.6110692,,,,,,,,,,,,,,Nextenergy Solar Fund,,,,,4.75,11,1,0
JE00BD3QJR55,,931.7585564999999,,,,,,,,,,,,,,Foresight Solar Fund,,,,,4.75,6,1,0
GG00BJL5FH87,,762.9137728999999,,,,,,,,,,,,,,John Laing Environmental Assets Group Ltd,,,,,4.504468491018112,10,0,0
GG00BB0RDB98,,669.6708202000001,,,,,,,,,,,,,,Bluefield Solar Income Fund Ltd.,,,,,3.9539345285100134,2,0,0
US18539C1053,,642.1759999999999,,,,,,,,,,,,,,Clearway Energy Inc Class A,,,,,3.791596980471877,5,0,0
BMG162581992,,177.08375039999999,,,,,,,,,,,,,,Brookfield Renewable Partners LP,,,,,0.22036689221865363,3,1,0
BMG162584053,,173.217624,,,,,,,,,,,,,,Brookfield Renewable Partners LP,,,,,0.2155557999655923,3,1,0
BMG162581653,,155.676023,,,,,,,,,,,,,,Brookfield Renewable Partners LP,,,,,0.1937266480068272,3,1,0
