ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,ans
US3026351078,3115.01199,,,,10.46607731,,,BDC,,,0.43836505200000003,,,,3.971940668311409,1
US74348T1025,2458.685443,,,,10.40271486,,,BDC,,,0.368755998,,,,3.341226538150127,1
US03761U5020,1124.48336,,,,5.226520401,,,BDC,,,0.331085235,,,,2.9998990648869963,1
US48249T1060,319.1346,,,,1.595521851,,,CEF,,,0.30332719,,,,2.748388805788336,1
US6475511001,2253.533571,,,,5.773049445,,,BDC,,,0.300220751,,,,2.7202419648359495,1
US4270965084,1353.463526,,,,9.031391144,,,BDC,,,0.28975535,,,,2.6254169972605528,1
US67073D1028,1040.12103,,,,4.842150362,,,CEF,,,0.285100672,,,,2.5832418631759717,1
US09257R1014,665.94024,,,,2.3070446380000003,,,CEF,,,0.283228949,,,,2.5662825442941513,1
US09257D1028,203.48604,,,,1.011986288,,,CEF,,,0.268614046,,,,2.433859744337173,1
US8722801029,922.5298604000001,,,,5.147634394,,,BDC,,,0.261204482,,,,2.366723122811842,1
US67074X1072,153.76208,,,,0.552737894,,,CEF,,,0.249368005,,,,2.2594751016675083,1
US6706EN1001,392.43688,,,,1.365274893,,,CEF,,,0.24696335100000003,,,,2.2376869984137446,1
US04010L1035,7770.58917,,,,30.07722378,,,BDC,,,0.24669137300000002,,,,2.2352226585350126,1
US67072T1088,552.67378,,,,1.5517213559999998,,,CEF,,,0.23915537,,,,2.1669403977670703,1
US67067Y1047,226.26046000000002,,,,0.7409351129999999,,,CEF,,,0.236975524,,,,2.147189236175712,1
US46132R1041,820.9615200000001,,,,2.368929853,,,CEF,,,0.233853211,,,,2.118898563989788,1
US09256U1051,257.28265,,,,1.089768028,,,CEF,,,0.23054720399999998,,,,2.0889434761169934,1
US09255R2022,544.35843,,,,1.8261982559999999,,,CEF,,,0.228598131,,,,2.0712833038954916,1
US06759X1072,325.5416,,,,0.36767863700000003,,,CEF,,,0.219512195,,,,1.9889574009900866,1
US27828Q1058,481.23488,,,,1.548568886,,,CEF,,,0.215438324,,,,1.9520448464227704,1
US72369J1025,259.99638,,,,0.8498747259999999,,,CEF,,,0.21515880699999998,,,,1.9495121971280347,1
US09249W1018,548.24954,,,,1.277574004,,,CEF,,,0.207772698,,,,1.882588096806094,1
US2782791048,532.98168,,,,1.511106069,,,CEF,,,0.20091185399999997,,,,1.8204233207177383,1
US33733U1088,321.69885,,,,0.932433605,,,CEF,,,0.195506542,,,,1.7714468376250316,1
US56035L1044,2628.6371289999997,,,,9.115235079,,,BDC,,,0.19513873,,,,1.76811416446957,1
US92913A1007,833.7425599999999,,,,1.6929305019999998,,,CEF,,,0.19462526800000002,,,,1.7634617849285283,1
US46131H1077,763.3526400000001,,,,2.725816637,,,CEF,,,0.189423077,,,,1.7163257417997442,1
US27826S1033,237.80476000000002,,,,0.8096062490000001,,,CEF,,,0.187377049,,,,1.6977870791380503,1
US0919411043,288.43815,,,,0.966617548,,,CEF,,,0.18448332,,,,1.6715675622177737,1
US33740K1016,320.1159216,,,,0.74155963,,,CEF,,,0.135757919,,,,1.2300761592678835,1
US05588N1081,137.34198,,,,0.319709601,,,CEF,,,0.12193548400000001,,,,1.1048337580748455,1
US01374T1025,107.90088490000002,,,,0.27151736600000004,,,BDC,,,0.363122172,,,,1.0,0
US14054R1068,152.9120064,,,,0.84334218,,,BDC,,,0.48050264600000003,,,,1.0,0
US12574Q1031,99.5622,,,,0.337893124,,,BDC,,,0.44182069,,,,1.0,0
US3665541039,113.30593999999999,,,,0.248173002,,,BDC,,,0.461322082,,,,1.0,0
US44045A1025,164.3756,,,,1.160160887,,,BDC,,,0.304003336,,,,1.0,0
US58503F1066,126.92442,,,,0.394582631,,,BDC,,,0.554263566,,,,1.0,0
US6103351010,233.0729887,,,,1.23794915,,,BDC,,,0.408163265,,,,1.0,0
US67402D1046,243.10275,,,,0.416624385,,,BDC,,,0.236177885,,,,1.0,0
US67103B1008,148.8415453,,,,0.618386691,,,BDC,,,0.388646292,,,,1.0,0
US73688F1021,85.92253658,,,,0.509643296,,,BDC,,,0.89076,,,,1.0,0
US80349A2087,204.4589911,,,,1.112390277,,,BDC,,,0.24126726199999998,,,,1.0,0
US8724381061,211.19340060000002,,,,0.815035148,,,BDC,,,0.47540983600000003,,,,1.0,0
US06759L1035,501.8408994,,,,1.8348388869999999,,,BDC,,,0.50591443,,,,1.0,0
US0925331086,414.3927099,,,,1.81082525,,,BDC,,,0.42205323200000006,,,,1.0,0
US09259E1082,828.5765455,,,,3.366096619,,,BDC,,,0.3183493,,,,1.0,0
US1405011073,361.395632,,,,1.5218242519999998,,,BDC,,,0.201257861,,,,1.0,0
US3165001070,396.59223330000003,,,,1.5446523019999998,,,BDC,,,0.321715814,,,,1.0,0
US3765351008,278.247465,,,,1.125494325,,,BDC,,,0.268656716,,,,1.0,0
US3765461070,370.5603629,,,,1.619305446,,,BDC,,,0.232627485,,,,1.0,0
US38147U1079,814.5236215,,,,2.390890104,,,BDC,,,0.271493213,,,,1.0,0
US38173M1027,1108.066993,,,,3.276271429,,,BDC,,,0.246260683,,,,1.0,0
US67401P1084,744.2741017999999,,,,2.080965383,,,BDC,,,0.233140655,,,,1.0,0
US69181V1070,319.2616975,,,,1.042056175,,,BDC,,,0.43026941399999996,,,,1.0,0
US70806A1060,454.7955347,,,,1.81687059,,,BDC,,,0.29559204899999997,,,,1.0,0
