ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
BE0003565737,28892.94394,,,,,143.7617117,144.8780766,Active Users,,,,,,
FR0000120685,15665.86578,,,,,59.00315879,65.82325992,Active Users,,,,,,
US16939P1066,86857.89887,,,,,433.0252245,524.6312807,Active Users,,,,,,
US57636Q1040,227937.7175,,,,,878.9363807,870.2633192,Active Users,,,,,,
US62886E1082,3287.990006,,,,,25.54401039,35.88516787,Active Users,,,,,,
US6311031081,14388.86673,,,,,72.78093885,67.81169488,Active Users,,,,,,
US6549022043,35346.06466,,,,,429.854665,624.6632138,Active Users,,,,,,
US6658591044,20387.82566,,,,,118.8857641,110.0865074,Active Users,,,,,,
US7055731035,4516.650135,,,,,17.98721113,17.7427333,Active Users,,,,,,
US7565771026,31990.02305,,,,,360.1548343,273.713993,Active Users,,,,,,
CA7800871021,109912.4873,,,,,398.8190345,369.7204749,Active Users,,,,,,
ES0113900J37,74981.06034,,,,,834.4253885,1227.851806,Active Users,,,,,,
US8356993076,57998.18891,,,,,386.0991852,561.1982638,Active Users,,,,,,
CH0244767585,49763.6609,,,,,372.3887186,339.9395002,Active Users,,,,,,
US92826C8394,319175.4095,,,,,1328.816147,1269.729958,Active Users,,,,,,
AT0000746409,16763.79046,,,,,42.0443525,28.35567788,Active Users,,,,,,
AU000000WBC1,64406.03188,,,,,148.7287416,181.5144995,Active Users,,,,,,
US97651M1099,23844.96128,,,,,29.5402118,27.87845362,Active Users,,,,,,
IE00BDB6Q211,21860.01351,,,,,124.6279221,119.7594527,Active Users,,,,,,
US9311421039,290496.9422,,,,,772.4381999,740.1929145,Active Users,,,,,,
CA98462Y1007,2474.452405,,,,,40.10840867,57.75122186,Active Users,,,,,,
ES0130670112,25651.22115,,,,,102.9487199,83.6347962,Active Users,,,,,,
AT0000652011,15491.36634,,,,,89.86616674,94.62591401,Active Users,,,,,,
IT0005282865,2224.905432,,,,,3.824987665,3.941519289,Active Users,,,,,,
