ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,ans
US06759L1035,509.60927999999996,,,,1.239630608,,,BDC,,,0.454894775560928,,,,3.0860961729991634,1
US0925331086,337.986016,,,,1.87254122,,,BDC,,,0.437881886761711,,,,2.970677368836855,1
US3026351078,3054.436096,,,,10.94789265,,,BDC,,,0.4168333266,,,,2.827879771563728,1
US7080621045,396.907008,,,,1.834601469,,,BDC,,,0.38175676993243196,,,,2.589913470103598,1
US74348T1025,2366.229504,,,,9.986720407,,,BDC,,,0.3716304379192551,,,,2.521214429905018,1
US03761U5020,1103.328384,,,,5.563514707,,,BDC,,,0.32569361254523493,,,,2.209569916486098,1
US67073D1028,987.2335199999999,,,,4.951600125,,,CEF,,,0.313186812774725,,,,2.124721311969496,1
US3165001070,376.976672,,,,1.427819386,,,BDC,,,0.311486035366645,,,,2.1131829014794503,1
US96524V1061,294.219168,,,,1.074257821,,,BDC,,,0.311103342248603,,,,2.1105866356384846,1
US8722801029,789.010176,,,,4.8501764210000005,,,BDC,,,0.30665669603590096,,,,2.080419707819234,1
US09259E1082,828.603648,,,,3.54781842,,,BDC,,,0.30638299063829794,,,,2.07856283624046,1
US48249T1060,310.9986,,,,1.400693837,,,CEF,,,0.303525572419882,,,,2.059177545614429,1
US6475511001,1305.409664,,,,7.643903,,,BDC,,,0.302446260044477,,,,2.051855276882939,1
US89677Y1001,372.92361600000004,,,,3.4416633119999998,,,BDC,,,0.295060091388518,,,,2.0017460471293687,1
US70806A1060,460.99996799999997,,,,1.632446216,,,BDC,,,0.287636666947014,,,,1.9513840667544027,1
US8585681088,268.275552,,,,1.373012071,,,BDC,,,0.28744186807611,,,,1.9500625126669542,1
US09257R1014,629.31576,,,,2.238834554,,,CEF,,,0.282256913058907,,,,1.9148867518197739,1
US09257D1028,197.13504,,,,0.977375599,,,CEF,,,0.27487113353092796,,,,1.864780161987421,1
US4270965084,1487.884928,,,,6.757658362000001,,,BDC,,,0.26933895991561196,,,,1.8272488014622505,1
US38147U1079,821.06624,,,,2.421208369,,,BDC,,,0.265486718584071,,,,1.8011144339789613,1
US67074X1072,146.69488,,,,0.521965353,,,CEF,,,0.25997247143152097,,,,1.7637046901245235,1
US04010L1035,7992.792064,,,,29.72355515,,,BDC,,,0.251202564831641,,,,1.7042079083422392,1
US6706EN1001,384.73409,,,,1.365440367,,,CEF,,,0.246469969336143,,,,1.6721010440042179,1
US83416M1053,285.925792,,,,0.607577291,,,BDC,,,0.243967452300786,,,,1.6551234732326976,1
US67072T1088,539.5826400000001,,,,1.765884627,,,CEF,,,0.24113924588607605,,,,1.6359363612635054,1
US87265K1025,1451.270912,,,,4.238688012,,,BDC,,,0.240952809261567,,,,1.6346715383103405,1
US3765351008,317.41836800000004,,,,1.18369457,,,BDC,,,0.240917783059273,,,,1.634433913622915,1
