ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,count,weight
US1894641000,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US03152W1099,,,c,,,,,,,,,,,,13.0,0.015384615384615385
US4529071080,,,c,,,,,,,,,,,,13.0,0.015384615384615385
US29664W1053,,,c,,,,,,,,,,,,13.0,0.015384615384615385
US0327241065,,,d,,,,,,,,,,,,12.0,0.016666666666666666
US7504692077,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US0143391052,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US5488621013,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US69366J2006,,,e,,,,,,,,,,,,14.0,0.014285714285714287
US40637H1095,,,e,,,,,,,,,,,,14.0,0.014285714285714287
US62857M1053,,,a,,,,,,,,,,,,21.0,0.009523809523809525
JE00BYSS4X48,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US5588681057,,,b,,,,,,,,,,,,25.0,0.008
US24983L1044,,,c,,,,,,,,,,,,13.0,0.015384615384615385
US0044491043,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US00900T1079,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US88322Q1085,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US19459J1043,,,b,,,,,,,,,,,,25.0,0.008
US5034596040,,,b,,,,,,,,,,,,25.0,0.008
US7613301099,,,b,,,,,,,,,,,,25.0,0.008
US60468T1051,,,b,,,,,,,,,,,,25.0,0.008
US56854Q1013,,,b,,,,,,,,,,,,25.0,0.008
US6515111077,,,b,,,,,,,,,,,,25.0,0.008
BMG0750W2037,,,b,,,,,,,,,,,,25.0,0.008
KYG8807B1068,,,b,,,,,,,,,,,,25.0,0.008
US05070R1041,,,b,,,,,,,,,,,,25.0,0.008
US4622601007,,,b,,,,,,,,,,,,25.0,0.008
VGG111961055,,,b,,,,,,,,,,,,25.0,0.008
US2060221056,,,b,,,,,,,,,,,,25.0,0.008
US38000Q1022,,,b,,,,,,,,,,,,25.0,0.008
US29251M1062,,,b,,,,,,,,,,,,25.0,0.008
US23257D1037,,,d,,,,,,,,,,,,12.0,0.016666666666666666
US04351P1012,,,b,,,,,,,,,,,,25.0,0.008
US4831191030,,,b,,,,,,,,,,,,25.0,0.008
US23284F1057,,,c,,,,,,,,,,,,13.0,0.015384615384615385
US05463X1063,,,c,,,,,,,,,,,,13.0,0.015384615384615385
NL0010696654,,,c,,,,,,,,,,,,13.0,0.015384615384615385
US09058V1035,,,b,,,,,,,,,,,,25.0,0.008
US00461U1051,,,b,,,,,,,,,,,,25.0,0.008
IL0011407140,,,b,,,,,,,,,,,,25.0,0.008
US29428V1044,,,b,,,,,,,,,,,,25.0,0.008
US0453961080,,,b,,,,,,,,,,,,25.0,0.008
US50127T1097,,,b,,,,,,,,,,,,25.0,0.008
US4811161011,,,b,,,,,,,,,,,,25.0,0.008
US48283N1063,,,b,,,,,,,,,,,,25.0,0.008
CA05156V1022,,,c,,,,,,,,,,,,13.0,0.015384615384615385
US92915B1061,,,c,,,,,,,,,,,,13.0,0.015384615384615385
US00972L1070,,,c,,,,,,,,,,,,13.0,0.015384615384615385
US7612991064,,,c,,,,,,,,,,,,13.0,0.015384615384615385
SG9999014716,,,c,,,,,,,,,,,,13.0,0.015384615384615385
US24344T1016,,,c,,,,,,,,,,,,13.0,0.015384615384615385
US00448Q2012,,,d,,,,,,,,,,,,12.0,0.016666666666666666
US5560991094,,,d,,,,,,,,,,,,12.0,0.016666666666666666
US98419J2069,,,d,,,,,,,,,,,,12.0,0.016666666666666666
US00653A1079,,,d,,,,,,,,,,,,12.0,0.016666666666666666
US00972D1054,,,d,,,,,,,,,,,,12.0,0.016666666666666666
US67022C1062,,,d,,,,,,,,,,,,12.0,0.016666666666666666
US2530311081,,,e,,,,,,,,,,,,14.0,0.014285714285714287
US7207951036,,,d,,,,,,,,,,,,12.0,0.016666666666666666
US87164F1057,,,d,,,,,,,,,,,,12.0,0.016666666666666666
US00739L1017,,,d,,,,,,,,,,,,12.0,0.016666666666666666
US13089P1012,,,d,,,,,,,,,,,,12.0,0.016666666666666666
US87184Q1076,,,a,,,,,,,,,,,,21.0,0.009523809523809525
IE00BYZ5XL97,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US74366E1029,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US8162121045,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US21887L1070,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US01345P1066,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US16383L1061,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US8051111016,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US03753U1060,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US58549G2093,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US76243J1051,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US14888U1016,,,a,,,,,,,,,,,,21.0,0.009523809523809525
US0396971071,,,e,,,,,,,,,,,,14.0,0.014285714285714287
US3621LQ1099,,,e,,,,,,,,,,,,14.0,0.014285714285714287
IL0011327454,,,e,,,,,,,,,,,,14.0,0.014285714285714287
NL0012661870,,,e,,,,,,,,,,,,14.0,0.014285714285714287
US98887Q1040,,,e,,,,,,,,,,,,14.0,0.014285714285714287
US81750R1023,,,e,,,,,,,,,,,,14.0,0.014285714285714287
US6085501095,,,e,,,,,,,,,,,,14.0,0.014285714285714287
US59045L1061,,,e,,,,,,,,,,,,14.0,0.014285714285714287
US68404V1008,,,e,,,,,,,,,,,,14.0,0.014285714285714287
IE00BYQMW233,,,e,,,,,,,,,,,,14.0,0.014285714285714287
US14757U1097,,,e,,,,,,,,,,,,14.0,0.014285714285714287
