ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,flag,cap
CSCO-US,,245756.88152999998,,,,,,Quasi Play,,,,,,,,2.0,1.0,0.0
NXPI-US,,27950.001750000003,,,,,,Quasi Play,,,,,,,,2.0,1.0,0.0
INTC-US,,211269.62999999998,,,,,,Quasi Play,,,,,,,,2.0,1.0,0.0
HON-US,,128293.63718000002,,,,,,Quasi Play,,,,,,,,2.0,1.0,0.0
IBM-US,,123110.38055,,,,,,Quasi Play,,,,,,,,2.0,1.0,0.0
QCOM-US,,88429.94526000001,,,,,,Quasi Play,,,,,,,,2.0,1.0,0.0
SU-FR,,51184.67541723899,,,,,,Quasi Play,,,,,,,,2.0,1.0,0.0
ABBN-CH,,42850.7845188622,,,,,,Quasi Play,,,,,,,,2.0,1.0,0.0
ADI-US,,41620.29816,,,,,,Quasi Play,,,,,,,,2.0,1.0,0.0
EMR-US,,40263.756199999996,,,,,,Quasi Play,,,,,,,,2.0,1.0,0.0
JCI-US,,35653.3393,,,,,,Quasi Play,,,,,,,,2.0,1.0,0.0
1810-HK,,30534.014443140997,,,,,,Quasi Play,,,,,,,,2.0,1.0,0.0
ROK-US,,19298.924099999997,,,,,,Quasi Play,,,,,,,,1.037958260504542,0.0,0.0
LR-FR,,19219.7744747008,,,,,,Quasi Play,,,,,,,,1.0337013388767122,0.0,0.0
GRMN-US,,16159.67104,,,,,,Pure Play,,,,,,,,0.869119125817176,0.0,0.0
2454-TW,,15786.525515669999,,,,,,Quasi Play,,,,,,,,0.8490501583793164,0.0,0.0
STM-FR,,15596.4761851904,,,,,,Pure Play,,,,,,,,0.8388286936255035,0.0,0.0
DXCM-US,,14172.842999999999,,,,,,Pure Play,,,,,,,,0.7622611183119776,0.0,0.0
SWKS-US,,13097.11296,,,,,,Pure Play,,,,,,,,0.7044048940320511,0.0,0.0
6723-JP,,8293.846769096801,,,,,,Quasi Play,,,,,,,,0.44606977677801907,0.0,0.0
CY-US,,8160.328199999999,,,,,,Pure Play,,,,,,,,0.4388887183414625,0.0,0.0
ST-US,,7829.405639999999,,,,,,Pure Play,,,,,,,,0.42109063783917644,0.0,0.0
2395-TW,,5819.1820593805005,,,,,,Pure Play,,,,,,,,0.31297434285022274,0.0,0.0
ARLO-US,,301.42385,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
REZI-US,,2603.694,,,,,,Quasi Play,,,,,,,,0.3,1.0,0.0
SPT-GB,,1145.2136873400302,,,,,,Quasi Play,,,,,,,,0.3,1.0,0.0
GTX-US,,1140.29762,,,,,,Quasi Play,,,,,,,,0.3,1.0,0.0
FING.B-SE,,610.746658933824,,,,,,Quasi Play,,,,,,,,0.3,1.0,0.0
PI-US,,577.32884,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
SENS-US,,361.09632,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
RMBS-US,,1299.46611,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
AMS-CH,,3007.6873978068,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
ALRM-US,,2594.03211,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
LAND-CH,,2481.9530099,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
ITRI-US,,2459.7059900000004,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
BDC-US,,2366.9054499999997,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
IDCC-US,,2057.93588,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
BMI-US,,1699.44255,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
SWIR-US,,433.45048999999995,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
AMBA-US,,1439.5778,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
DAL-IT,,1131.76174827483,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
FIT-US,,1020.24072,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
3529-TW,,872.9567715517799,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
NTGR-US,,863.51064,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
NOD-NO,,793.16035501104,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
6929-JP,,697.1140810299121,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
CTRL-US,,635.35687,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
ORBC-US,,574.24045,,,,,,Pure Play,,,,,,,,0.3,1.0,0.0
7035-JP,,169.86441723011998,,,,,,Quasi Play,,,,,,,,0.3,1.0,0.0
ADT-US,,4737.33012,,,,,,Pure Play,,,,,,,,0.25478886311548193,0.0,0.0
SLAB-US,,4292.49264,,,,,,Pure Play,,,,,,,,0.23086407152836833,0.0,0.0
