ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US8256901005,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US1417881091,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US32008D1063,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US90184L1026,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US1630921096,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US00183L1026,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US57665R1068,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US8522341036,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US8969452015,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US48238T1097,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US52603A1097,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US88034P1093,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US30303M1027,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US14575E1055,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US64110L1061,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US03783C1009,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US2829141009,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US70450Y1038,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US98954M2008,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US58733R1023,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US7565771026,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US75606N1090,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US2786421030,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US9307521008,,,,,,,,Pure Play,,,,,,,1.6666666666666667
LU1778762911,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US4001101025,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US29786A1060,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US46267X1081,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US10316T1043,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US9858171054,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US83304A1060,,,,,,,,Pure Play,,,,,,,1.6666666666666667
CA7677441056,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US4612021034,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US5949181045,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US2172041061,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US92826C8394,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US21925Y1038,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US26210C1045,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US90214J1016,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US3994731079,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US1416331072,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US53567X1019,,,,,,,,Pure Play,,,,,,,1.6666666666666667
US09857L1089,,,,,,,,Quasi Play,,,,,,,0.16666666666666666
US0537741052,,,,,,,,Quasi Play,,,,,,,0.16666666666666666
US3453708600,,,,,,,,Marginal,,,,,,,0.16666666666666666
US8851601018,,,,,,,,Marginal,,,,,,,0.16666666666666666
US42806J1060,,,,,,,,Marginal,,,,,,,0.16666666666666666
US37045V1008,,,,,,,,Marginal,,,,,,,0.16666666666666666
US0231351067,,,,,,,,Marginal,,,,,,,0.16666666666666666
NL0009805522,,,,,,,,Marginal,,,,,,,0.16666666666666666
US30212P3038,,,,,,,,Marginal,,,,,,,0.16666666666666666
US02079K3059,,,,,,,,Marginal,,,,,,,0.16666666666666666
US01609W1027,,,,,,,,Marginal,,,,,,,0.16666666666666666
US7495271071,,,,,,,,Marginal,,,,,,,0.16666666666666666
