ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
CNE1000004Y2,11001.34715,,Telecommunications Service Providers,,,,,,,,,,,
SE0005190238,8288.04732,,Telecommunications Service Providers,,,,,,,,,,,
KR7030200000,7119.01079,,Telecommunications Service Providers,,,,,,,,,,,
US6074091090,7117.34432,,Telecommunications Service Providers,,,,,,,,,,,
FI0009007884,7009.25595,,Telecommunications Service Providers,,,,,,,,,,,
KR7032640005,6710.51499,,Telecommunications Service Providers,,,,,,,,,,,
US8792732096,6419.64424,,Telecommunications Service Providers,,,,,,,,,,,
TRATCELL91M1,4948.98928,,Telecommunications Service Providers,,,,,,,,,,,
US69344D4088,4694.99939,,Telecommunications Service Providers,,,,,,,,,,,
US9116841084,4251.09399,,Telecommunications Service Providers,,,,,,,,,,,
CH0267291224,3905.49687,,Telecommunications Service Providers,,,,,,,,,,,
LU0914713705,2680.30967,,Telecommunications Service Providers,,,,,,,,,,,
FI4000062385,2570.09843,,Telecommunications Service Providers,,,,,,,,,,,
SG1V12936232,2221.03670,,Telecommunications Service Providers,,,,,,,,,,,
KYG4672G1064,1790.77084,,Telecommunications Service Providers,,,,,,,,,,,
SG1U89935555,1441.16857,,Telecommunications Service Providers,,,,,,,,,,,
RU000A0DQZE3,1109.77807,,Telecommunications Service Providers,,,,,,,,,,,
US14713L1026,988.33348,,Telecommunications Service Providers,,,,,,,,,,,
