ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US0231351067,," 801,918.9393800000 ",,0.82352941176470600000,,,,,,,,,,
US02079K3059,," 324,207.1421100000 ",,0.82352941176470600000,,,,,,,,,,
DE0007236101,," 95,415.7555000000 ",,0.70588235294117700000,,,,,,,,,,
US30303M1027,," 346,675.8438000000 ",,0.70588235294117700000,,,,,,,,,,
US01609W1027,," 394,089.7335200000 ",,0.70588235294117700000,,,,,,,,,,
US79466L3024,," 114,558.7500000000 ",,0.70588235294117700000,,,,,,,,,,
US0567521085,," 45,401.7897000000 ",,0.70588235294117700000,,,,,,,,,,
US90184L1026,," 23,575.9125000000 ",,0.58823529411764700000,,,,,,,,,,
GB00BWFY5505,," 9,048.5166700000 ",,0.58823529411764700000,,,,,,,,,,
US81762P1021,," 32,984.0280000000 ",,0.47058823529411800000,,,,,,,,,,
US00724F1012,," 119,661.1687600000 ",,0.47058823529411800000,,,,,,,,,,
US9858171054,," 2,946.9894800000 ",,0.47058823529411800000,,,,,,,,,,
US92345Y1064,," 19,229.2622000000 ",,0.47058823529411800000,,,,,,,,,,
US9892071054,," 9,316.3357500000 ",,0.47058823529411800000,,,,,,,,,,
US7055731035,," 4,258.5111100000 ",,0.47058823529411800000,,,,,,,,,,
US92343X1000,," 2,992.0684800000 ",,0.47058823529411800000,,,,,,,,,,
US2786421030,," 31,397.7884700000 ",,0.47058823529411800000,,,,,,,,,,
US8486371045,," 17,651.2015200000 ",,0.47058823529411800000,,,,,,,,,,
US83304A1060,," 5,868.9421000000 ",,0.47058823529411800000,,,,,,,,,,
US4435731009,," 5,965.2256000000 ",,0.47058823529411800000,,,,,,,,,,
BMG3922B1072,," 5,499.2747700000 ",,0.47058823529411800000,,,,,,,,,,
KYG875721634,," 404,337.1490031400 ",,0.47058823529411800000,,,,,,,,,,
US23355L1061,," 17,372.6702800000 ",,0.35294117647058800000,,,,,,,,,,
IL0011301780,," 4,949.1060000000 ",,0.35294117647058800000,,,,,,,,,,
US3032501047,," 6,234.0115000000 ",,0.35294117647058800000,,,,,,,,,,
CA6837151068,," 9,394.8076532700 ",,0.35294117647058800000,,,,,,,,,,
US29404K1060,," 2,417.3221400000 ",,0.35294117647058800000,,,,,,,,,,
US88339J1051,," 4,851.8338400000 ",,0.35294117647058800000,,,,,,,,,,
US8715031089,," 12,637.2046400000 ",,0.35294117647058800000,,,,,,,,,,
US98936J1016,," 6,893.5048000000 ",,0.35294117647058800000,,,,,,,,,,
US7551115071,," 47,012.1204000000 ",,0.35294117647058800000,,,,,,,,,,
US98138H1014,," 25,920.6600000000 ",,0.35294117647058800000,,,,,,,,,,
US90138F1021,," 8,098.9668000000 ",,0.35294117647058800000,,,,,,,,,,
CA82509L1076,," 14,940.5796000000 ",,0.35294117647058800000,,,,,,,,,,
US32008D1063,," 13,467.9313600000 ",,0.35294117647058800000,,,,,,,,,,
US69370C1009,," 10,044.6520000000 ",,0.35294117647058800000,,,,,,,,,,
US04685W1036,," 5,524.0287000000 ",,0.35294117647058800000,,,,,,,,,,
US31816Q1013,," 3,319.7027500000 ",,0.35294117647058800000,,,,,,,,,,
GB00B19NLV48,," 23,179.2458306785 ",,0.35294117647058800000,,,,,,,,,,
US67020Y1001,," 4,377.5436700000 ",,0.35294117647058800000,,,,,,,,,,
US21925Y1038,," 3,180.2871200000 ",,0.35294117647058800000,,,,,,,,,,
NZXROE0001S2,," 4,232.9728896043 ",,0.35294117647058800000,,,,,,,,,,
JP3788600009,," 29,890.8942376914 ",,0.35294117647058800000,,,,,,,,,,
CA8849037095,," 25,652.0370651000 ",,0.35294117647058800000,,,,,,,,,,
US48203R1041,," 9,660.8604600000 ",,0.23529411764705900000,,,,,,,,,,
US09227Q1004,," 3,312.8914900000 ",,0.23529411764705900000,,,,,,,,,,
US64110L1061,," 140,415.0091500000 ",,0.23529411764705900000,,,,,,,,,,
US54142L1098,," 4,547.2785600000 ",,0.23529411764705900000,,,,,,,,,,
KR7005930003,," 222,407.3221938960 ",,0.23529411764705900000,,,,,,,,,,
US1924461023,," 38,829.6176800000 ",,0.23529411764705900000,,,,,,,,,,
US34959E1091,," 12,178.0476000000 ",,0.23529411764705900000,,,,,,,,,,
US7153471005,," 3,199.3278400000 ",,0.23529411764705900000,,,,,,,,,,
GB00BDD85M81,," 3,561.7899918658 ",,0.23529411764705900000,,,,,,,,,,
DE000A2GS401,," 2,788.0143800000 ",,0.17647058823529400000,,,,,,,,,,
US88076W1036,," 5,152.3380000000 ",,0.17647058823529400000,,,,,,,,,,
US6668071029,," 46,917.3326000000 ",,0.17647058823529400000,,,,,,,,,,
US5398301094,," 80,637.6152600000 ",,0.17647058823529400000,,,,,,,,,,
US9285634021,," 16,569.3649800000 ",,0.17647058823529400000,,,,,,,,,,
US87336U1051,," 8,667.8092800000 ",,0.17647058823529400000,,,,,,,,,,
US0378331005,," 728,011.2777600000 ",,0.17647058823529400000,,,,,,,,,,
US4592001014,," 120,769.6346600000 ",,0.91666666666666700000,,,,,,,,,,
US42824C1099,," 20,196.9103200000 ",,0.91666666666666700000,,,,,,,,,,
US5949181045,," 819,267.3055200000 ",,0.83333333333333300000,,,,,,,,,,
US4581401001,," 218,798.1600000000 ",,0.83333333333333300000,,,,,,,,,,
US68389X1054,," 176,718.3715600000 ",,0.75000000000000000000,,,,,,,,,,
JP3592200004,," 17,798.8780320000 ",,0.66666666666666700000,,,,,,,,,,
