ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Weight,Cap
US5949181045,,1271874.5359999998,,0.833333333,,,,,,,,,,,,,1.0,1
US0231351067,,934369.1103,,0.8235294120000001,,,,,,,,,,,,,1.0,1
US01609W1027,,587865.1129,,0.705882353,,,,,,,,,,,,,1.0,1
US30303M1027,,528845.4077,,0.705882353,,,,,,,,,,,,,1.0,1
KYG875721634,,473922.0884,,0.470588235,,,,,,,,,,,,,1.0,1
US02079K3059,,444854.6953,,0.8235294120000001,,,,,,,,,,,,,1.0,1
KR7005930003,,310189.9091,,0.470588235,,,,,,,,,,,,,1.0,1
US4581401001,,275442.0,,0.833333333,,,,,,,,,,,,,1.0,1
US17275R1023,,207870.887,,0.352941176,,,,,,,,,,,,,1.0,1
US68389X1054,,176356.542,,0.75,,,,,,,,,,,,,1.0,1
US00724F1012,,169594.4006,,0.470588235,,,,,,,,,,,,,1.0,1
US79466L3024,,163190.26,,0.705882353,,,,,,,,,,,,,1.0,1
US67066G1040,,154750.32,,0.41666666700000005,,,,,,,,,,,,,1.0,1
US64110L1061,,153212.5496,,0.235294118,,,,,,,,,,,,,1.0,1
US4592001014,,126530.9582,,0.916666667,,,,,,,,,,,,,1.0,1
DE0007236101,,108533.08300000001,,0.705882353,,,,,,,,,,,,,1.0,1
US7475251036,,105049.7216,,0.5,,,,,,,,,,,,,1.0,1
KYG596691041,,76737.23178,,0.235294118,,,,,,,,,,,,,1.0,1
US5951121038,,65763.7408,,0.083333333,,,,,,,,,,,,,1.0,1
US6668071029,,64295.3395,,0.294117647,,,,,,,,,,,,,1.0,1
US90353T1007,,63797.481,,0.235294118,,,,,,,,,,,,,1.0,1
KR7000660001,,61479.218720000004,,0.083333333,,,,,,,,,,,,,1.0,1
US81762P1021,,58741.356,,0.470588235,,,,,,,,,,,,,1.0,1
US0079031078,,57585.703879999994,,0.5,,,,,,,,,,,,,1.0,1
CA82509L1076,,48642.455,,0.352941176,,,,,,,,,,,,,1.0,1
CA8849037095,,39381.691660000004,,0.352941176,,,,,,,,,,,,,1.0,1
US0567521085,,36836.558,,0.705882353,,,,,,,,,,,,,1.0,1
GB00B19NLV48,,31183.37817,,0.352941176,,,,,,,,,,,,,1.0,1
US98138H1014,,30791.46,,0.352941176,,,,,,,,,,,,,1.0,1
DE0006231004,,29942.67291,,0.333333333,,,,,,,,,,,,,1.0,1
US2786421030,,28969.62525,,0.470588235,,,,,,,,,,,,,1.0,1
NL0000226223,,27155.48833,,0.333333333,,,,,,,,,,,,,1.0,1
US92345Y1064,,27054.937,,0.470588235,,,,,,,,,,,,,1.0,1
US5950171042,,26349.71428,,0.166666667,,,,,,,,,,,,,1.0,1
US90184L1026,,26310.73873,,0.588235294,,,,,,,,,,,,,1.0,1
US9839191015,,25752.73547,,0.583333333,,,,,,,,,,,,,1.0,1
US8486371045,,24618.21325,,0.470588235,,,,,,,,,,,,,1.0,1
US8716071076,,23326.9036,,0.333333333,,,,,,,,,,,,,1.0,1
US83304A1060,,21913.21825,,0.470588235,,,,,,,,,,,,,1.0,1
US34959E1091,,20365.01838,,0.235294118,,,,,,,,,,,,,1.0,1
SE0000103699,,20127.976590000002,,0.235294118,,,,,,,,,,,,,1.0,1
US42824C1099,,19600.758159999998,,0.916666667,,,,,,,,,,,,,1.0,1
US6687711084,,17700.2148,,0.235294118,,,,,,,,,,,,,1.0,1
