ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,cap
US7613301099,,11.10471291,,,,,,,,,,,,,4.5,1
US5034596040,,11.64405378,,,,,,,,,,,,,4.5,1
US19459J1043,,9.99536888,,,,,,,,,,,,,4.5,1
US88322Q1085,,12.48000864,,,,,,,,,,,,,4.5,1
US00900T1079,,13.61951801,,,,,,,,,,,,,4.5,1
US0044491043,,12.26947947,,,,,,,,,,,,,4.5,1
US24983L1044,,13.44544096,,,,,,,,,,,,,4.5,1
US5588681057,,10.96570679,,,,,,,,,,,,,4.5,1
US62857M1053,,22.97200924,,,,,,,,,,,,,4.5,1
US0453961080,,4.473740043,,,,,,,,,,,,,4.5,1
US40637H1095,,22.84228926,,,,,,,,,,,,,4.5,1
US69366J2006,,19.69712062,,,,,,,,,,,,,4.5,1
US5488621013,,34.31991314,,,,,,,,,,,,,4.5,1
US0143391052,,15.19714085,,,,,,,,,,,,,4.5,1
US7504692077,,32.84252827,,,,,,,,,,,,,4.5,1
US0327241065,,25.42868317,,,,,,,,,,,,,4.5,1
US29664W1053,,33.14409232,,,,,,,,,,,,,4.5,1
US4529071080,,37.26684327,,,,,,,,,,,,,4.5,1
US60468T1051,,11.86361266,,,,,,,,,,,,,4.5,1
US56854Q1013,,10.06145877,,,,,,,,,,,,,4.5,1
US6515111077,,21.37847342,,,,,,,,,,,,,4.5,1
BMG0750W2037,,13.62061151,,,,,,,,,,,,,4.5,1
US29428V1044,,8.51269933,,,,,,,,,,,,,4.5,1
IL0011407140,,3.7311702139999996,,,,,,,,,,,,,4.5,1
US00461U1051,,8.09170118,,,,,,,,,,,,,4.5,1
US09058V1035,,7.091462344,,,,,,,,,,,,,4.5,1
NL0010696654,,8.585224541,,,,,,,,,,,,,4.5,1
US05463X1063,,6.148914465,,,,,,,,,,,,,4.5,1
US23284F1057,,7.116038102999999,,,,,,,,,,,,,4.5,1
US4831191030,,4.53562952,,,,,,,,,,,,,4.5,1
US04351P1012,,6.587732732,,,,,,,,,,,,,4.5,1
US23257D1037,,6.079508222,,,,,,,,,,,,,4.5,1
US29251M1062,,9.191280716,,,,,,,,,,,,,4.5,1
US38000Q1022,,8.672918916,,,,,,,,,,,,,4.5,1
US2060221056,,6.545486502,,,,,,,,,,,,,4.5,1
VGG111961055,,8.221772911,,,,,,,,,,,,,4.5,1
US4622601007,,5.876375229,,,,,,,,,,,,,4.5,1
US05070R1041,,8.501029563,,,,,,,,,,,,,4.5,1
KYG8807B1068,,6.350171697,,,,,,,,,,,,,4.5,1
US14757U1097,,1.793175086,,,,,,,,,,,,,4.5,1
