ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name
US38144G8042,,591,,,,,,,,,,,,,"The Goldman Sachs Group, Inc."
US4165186036,,368.598,,,,,,,,,,,,,"The Hartford Financial Services Group, Inc."
US4278256098,,177.146,,,,,,,,,,,,,Hersha Hospitality Trust
US4042806046,,1357.2,,,,,,,,,,,,,HSBC Holdings Plc
US4461507083,,628.32,,,,,,,,,,,,,"Huntington Bancshares, Inc."
US46131B5066,,287.615,,,,,,,,,,,,,"Invesco Mortgage Capital, Inc."
US46637G1242,,925.92,,,,,,,,,,,,,JPMorgan Chase & Co.
US48127X5427,,1504.23,,,,,,,,,,,,,JPMorgan Chase & Co.
US48127R4618,,1486.056,,,,,,,,,,,,,JPMorgan Chase & Co.
US4812467003,,927.52,,,,,,,,,,,,,JPMorgan Chase & Co.
US48127V8274,,1218.08,,,,,,,,,,,,,JPMorgan Chase & Co.
US48128B6552,,1782.48735,,,,,,,,,,,,,JPMorgan Chase & Co.
US4932677028,,550.8,,,,,,,,,,,,,KeyCorp
US4932678760,,425.85,,,,,,,,,,,,,KeyCorp
US49446R7373,,211.77,,,,,,,,,,,,,Kimco Realty Corp.
US49446R7118,,247.4662,,,,,,,,,,,,,Kimco Realty Corp.
US48251W2035,,366.666,,,,,,,,,,,,,"KKR & Co., Inc."
US50575Q2012,,425.3,,,,,,,,,,,,,"Ladenburg Thalmann Financial Services, Inc."
US59156R8768,,839.454,,,,,,,,,,,,,"MetLife, Inc."
US59156R5046,,547.68,,,,,,,,,,,,,"MetLife, Inc."
US61762V5075,,512,,,,,,,,,,,,,Morgan Stanley
US61747S5047,,882.64,,,,,,,,,,,,,Morgan Stanley
US61762V6065,,1052.4,,,,,,,,,,,,,Morgan Stanley
US61762V2007,,969.105,,,,,,,,,,,,,Morgan Stanley & Co. LLC
US61763E2072,,943.16,,,,,,,,,,,,,Morgan Stanley
US61761J4067,,1090.8,,,,,,,,,,,,,Morgan Stanley
BMG6359F1297,,164.335,,,,,,,,,,,,,Nabors Industries Ltd.
US6362208570,,180,,,,,,,,,,,,,National General Holdings Corp.
US6374178746,,339.48,,,,,,,,,,,,,"National Retail Properties, Inc."
US6374178092,,288.19,,,,,,,,,,,,,"National Retail Properties, Inc."
US6494452021,,568.56,,,,,,,,,,,,,"New York Community Bancorp, Inc."
US6496048819,,129.735,,,,,,,,,,,,,"New York Mortgage Trust, Inc."
US62913M2061,,200.8566,,,,,,,,,,,,,NGL Energy Partners LP
US6658598726,,409.28,,,,,,,,,,,,,Northern Trust Corp.
US67058H4092,,169.257,,,,,,,,,,,,,NuStar Energy LP
US67058H2013,,215.8092,,,,,,,,,,,,,NuStar Energy LP
US67058H3003,,329.252,,,,,,,,,,,,,NuStar Energy LP
US6740014096,,237.61226,,,,,,,,,,,,,Oaktree Capital Group LLC
US6740013007,,183.79512,,,,,,,,,,,,,Oaktree Capital Group LLC
US7091027018,,104.55,,,,,,,,,,,,,Pennsylvania Real Estate Investment Trust
US7091026028,,147.177,,,,,,,,,,,,,Pennsylvania Real Estate Investment Trust
US70931T4004,,198.666,,,,,,,,,,,,,PennyMac Mortgage Investment Trust
US7127042049,,258.825,,,,,,,,,,,,,"People's United Financial, Inc."
US6934758573,,1607.4,,,,,,,,,,,,,"The PNC Financial Services Group, Inc."
US6934758326,,484.608,,,,,,,,,,,,,"The PNC Financial Services Group, Inc."
US69360J5781,,190.8,,,,,,,,,,,,,"PS Business Parks, Inc."
US69360J5948,,226.872,,,,,,,,,,,,,"PS Business Parks, Inc."
US74460W7193,,338.24,,,,,,,,,,,,,Public Storage
US74460W7359,,320.45,,,,,,,,,,,,,Public Storage
US74460W7508,,199.04,,,,,,,,,,,,,Public Storage
US74460W8001,,495.99,,,,,,,,,,,,,Public Storage
US74460W6021,,290.95,,,,,,,,,,,,,Public Storage
US74460W6690,,303.6,,,,,,,,,,,,,Public Storage
US74460W6856,,280,,,,,,,,,,,,,Public Storage
US74460W7763,,306.6,,,,,,,,,,,,,Public Storage
US74460W8266,,290.72115,,,,,,,,,,,,,Public Storage
US74460W8753,,499.8,,,,,,,,,,,,,Public Storage
US7591EP3084,,508.6,,,,,,,,,,,,,Regions Financial Corp.
US7591EP5063,,548.6,,,,,,,,,,,,,Regions Financial Corp.
BMG7498P1196,,271.26,,,,,,,,,,,,,RenaissanceRe Holdings Ltd.
US75968N3098,,251.3,,,,,,,,,,,,,RenaissanceRe Holdings Ltd.
US74965L2007,,327.5052426,,,,,,,,,,,,,RLJ Lodging Trust
US81254U3041,,225.4445,,,,,,,,,,,,,Seaspan Corp.
MHY756381411,,150.6,,,,,,,,,,,,,Seaspan Corp.
MHY756383078,,196.5852,,,,,,,,,,,,,Seaspan Corp.
US8168514060,,1829.3625,,,,,,,,,,,,,Sempra Energy
US84860W2017,,164.634,,,,,,,,,,,,,"Spirit Realty Capital, Inc."
US8574778895,,772.8,,,,,,,,,,,,,State Street Corp.
US8574778556,,523.2,,,,,,,,,,,,,State Street Corp.
US8574775099,,502.8,,,,,,,,,,,,,State Street Corp.
US8574776089,,794.7,,,,,,,,,,,,,State Street Corp.
US85814R2067,,168.44875,,,,,,,,,,,,,Steel Partners Holdings LP
US8679145099,,149.799,,,,,,,,,,,,,"SunTrust Banks, Inc."
US87161C6003,,212.64,,,,,,,,,,,,,Synovus Financial Corp.
US8722753006,,173.11,,,,,,,,,,,,,TCF Financial Corp.
MHY8564M1131,,127.5,,,,,,,,,,,,,Teekay LNG Partners LP
MHY8564M2048,,164.53144,,,,,,,,,,,,,Teekay LNG Partners LP
MHY8565J1275,,113.4,,,,,,,,,,,,,Teekay Offshore Partners LP
MHY8565J1762,,100.176,,,,,,,,,,,,,Teekay Offshore Partners LP
BMG9108L1651,,137.28,,,,,,,,,,,,,Tsakos Energy Navigation Ltd.
US90187B3096,,288.88,,,,,,,,,,,,,Two Harbors Investment Corp.
US90187B5075,,285.796,,,,,,,,,,,,,Two Harbors Investment Corp.
US90187B2007,,153.295,,,,,,,,,,,,,Two Harbors Investment Corp.
US9029737916,,507.8,,,,,,,,,,,,,U.S. Bancorp
US9029738336,,1181.4,,,,,,,,,,,,,U.S. Bancorp
