ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC,ROE Rank,ROE Percentile,Winzorized ROE,Debt/Equity Rank,Debt/Equity Percentile,Winzorized Debt/Equity,AISC Rank,AISC Percentile,Winzorized AISC,Z-ROE,Modified Z-ROE,Z-Debt/Equity,Modified Z-Debt/Equity,Z-AISC,Modified Z-AISC,Flag,Quality Score,Weight
CA0106791084,,,,,,,,,,,,,,,,,,2.029032861,45.67040978,775.6800208999999,13,61.29032258064516,2.029032861,9,74.19354838709677,45.67040978,20.0,0.0,776.6675947000001,0.18503152863275144,1.1850315286327515,-0.5766988135882277,0.6342365399034041,1.9376489758483113,2.9376489758483113,1,1.5856390147948225,4.078115975471239
KYG4404P1019,,,,,,,,,,,,,,,,,,30.78964199,6.470063017999999,776.6675947000001,2,96.7741935483871,16.54768757,23,29.03225806451613,6.470063017999999,19.0,5.263157894736842,776.6675947000001,1.8240460607387108,2.824046060738711,0.7464553691489552,1.746455369148955,1.9376489758483113,2.9376489758483113,1,2.5027168019119923,6.4367546943074325
CA7798992029,,,,,,,,,,,,,,,,,,21.16771063,27.86479254,811.8857471,3,93.54838709677419,16.54768757,13,61.29032258064516,27.86479254,18.0,10.526315789473683,811.8857471,1.8240460607387108,2.824046060738711,0.02430548543908239,1.0243054854390823,1.6937492484688808,2.6937492484688805,1,2.1807002648822245,5.6085581301626295
CA29446Y3041,,,,,,,,,,,,,,,,,,-5.925038527000001,52.68742021,898.5600358999999,24,25.806451612903224,-5.925038527000001,8,77.41935483870968,52.68742021,17.0,15.789473684210526,898.5600358999999,-0.7129055637246269,0.5838033463009779,-0.8135484199739861,0.551405183884941,1.0934952894018495,2.0934952894018495,1,1.076234606529256,2.7679752461249127
GB00B61D2N63,,,,,,,,,,,,,,,,,,5.031362101,3.6113600160000003,992.9142659,10,70.96774193548387,5.031362101,25,22.58064516129032,3.6113600160000003,16.0,21.052631578947366,992.9142659,0.523965221399495,1.523965221399495,0.8429469858498136,1.8429469858498138,0.44005467977758667,1.4400546797775866,1,1.6023222956756318,4.121023821234675
AU000000RMS4,,,,,,,,,,,,,,,,,,16.54768757,0.0,999.7293273,4,90.32258064516128,16.54768757,28,12.903225806451612,0.0,15.0,26.31578947368421,999.7293273,1.8240460607387108,2.824046060738711,0.964843512417591,1.9648435124175911,0.39285766618484397,1.392857666184844,1,2.0605824131137154,5.299626194415684
CA74051D1042,,,,,,,,,,,,,,,,,,-6.789170296,0.0,1006.080028,25,22.58064516129032,-6.789170296,29,9.67741935483871,0.0,14.0,31.57894736842105,1006.080028,-0.810457613513886,0.5523465407506102,0.964843512417591,1.9648435124175911,0.34887653532352286,1.3488765353235228,1,1.2886888628305746,3.3143878208630415
CA8169221089,,,,,,,,,,,,,,,,,,-1.118684308,20.19378866,1043.382856,17,48.38709677419355,-1.118684308,15,54.83870967741935,20.19378866,13.0,36.84210526315789,1043.382856,-0.17031504350883345,0.8544707731020909,0.2832297477992889,1.283229747799289,0.09053959940629931,1.0905395994062994,1,1.0760800401025596,2.767577715660475
CA6445351068,,,,,,,,,,,,,,,,,,-69.11062347,81.36140936,1054.354286,32,0.0,-11.73366528,5,87.09677419354838,81.36140936,12.0,42.10526315789473,1054.354286,-1.3686428789625749,0.42218268058964753,-1.7813997736860263,0.3595312006065056,0.014558078411957555,1.0145580784119577,1,0.5987573198693702,1.539948102188684
CA8910546032,,,,,,,,,,,,,,,,,,3.184452448,43.90468668,1057.645693,12,64.51612903225806,3.184452448,10,70.96774193548387,43.90468668,11.0,47.368421052631575,1057.645693,0.31546713246310804,1.315467132463108,-0.5170992411786935,0.6591526597976947,-0.008236225527585173,0.9918310557396652,1,0.9888169493334894,2.543145167511809
CA2849025093,,,,,,,,,,,,,,,,,,-10.44818306,18.34881803,1090.56,28,12.903225806451612,-10.44818306,16,51.61290322580645,18.34881803,10.0,52.63157894736842,1090.56,-1.2235244722249476,0.4497364488187351,0.3455042123833161,1.345504212383316,-0.23618090624237786,0.8089430883054993,1,0.8680612498358501,2.2325727467680814
AU000000SLR6,,,,,,,,,,,,,,,,,,8.171693408,0.0,1095.7917539999999,7,80.64516129032258,8.171693408,30,6.451612903225806,0.0,9.0,57.89473684210527,1095.7917539999999,0.8784780017475037,1.8784780017475038,0.964843512417591,1.9648435124175911,-0.27241288570068206,0.7859084195373643,1,1.5430766445674864,3.9686495203963554
CA8807972044,,,,,,,,,,,,,,,,,,1.9223365819999998,15.00141235,1103.725762,14,58.06451612903226,1.9223365819999998,17,48.38709677419355,15.00141235,8.0,63.1578947368421,1103.725762,0.17298655922561845,1.1729865592256186,0.45849132072960536,1.4584913207296053,-0.3273590500039029,0.7533756597335586,1,1.128284513229594,2.90184276203231
AU000000PRU3,,,,,,,,,,,,,,,,,,-3.664771177,12.02711707,1139.931419,20,38.70967741935484,-3.664771177,18,45.16129032258064,12.02711707,7.0,68.42105263157895,1139.931419,-0.45774342182189476,0.6859917767628786,0.5588845969503761,1.5588845969503762,-0.5780976399105442,0.633674352403623,1,0.9595169087056258,2.4677881898822513
