ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US5184151042,,818.48,,,,,,Quasi Play,,,,,,,,7.808409294666842e-05
DK0010218429,,938.21,,,,,,Quasi Play,,,,,,,,8.950649599684022e-05
JP3306600002,,2064.83,,,,,,Quasi Play,,,,,,,,0.00019698755942609397
TW0002439007,,875.81,,,,,,Quasi Play,,,,,,,,8.355345206189725e-05
US0024441075,,2640.85,,,,,,Quasi Play,,,,,,,,0.00025194064223708494
JP3705600009,,1454.14,,,,,,Quasi Play,,,,,,,,0.00013872691198009535
TW0005371009,,606.28,,,,,,Quasi Play,,,,,,,,5.7839927514057935e-05
TW0003005005,,841.54,,,,,,Quasi Play,,,,,,,,8.028404796493421e-05
CH0406705126,,762.38,,,,,,Quasi Play,,,,,,,,7.273207748592644e-05
JP3920860008,,614.83,,,,,,Quasi Play,,,,,,,,5.865560901475925e-05
US83409V1044,,4421.57,,,,,,Quasi Play,,,,,,,,0.00042182372550361735
