ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
KYG6892A1085,,105735.71548986899,,,,,,Quasi Play,,,,,,,9.362276194054193e-05
US87357P1003,,100234.29887232,,,,,,Quasi Play,,,,,,,8.875158084592038e-05
US87157D1090,,96875.28175005599,,,,,,Quasi Play,,,,,,,8.577736859479075e-05
TW0002439007,,96852.573128288,,,,,,Quasi Play,,,,,,,8.5757261444809e-05
TW0008069006,,96578.24060845407,,,,,,Quasi Play,,,,,,,8.551435612111615e-05
US0024441075,,77768.10747490401,,,,,,Quasi Play,,,,,,,6.885908870959529e-05
US0316521006,,69004.766316443,,,,,,Quasi Play,,,,,,,6.109966513846563e-05
KYG7397A1067,,68963.3106600106,,,,,,Quasi Play,,,,,,,6.106295859105847e-05
NL0013332471,,67231.9653378236,,,,,,Quasi Play,,,,,,,5.952995406004439e-05
JP3705600009,,62824.33320861721,,,,,,Quasi Play,,,,,,,5.562725484774546e-05
KR7091700005,,58857.163869005206,,,,,,Quasi Play,,,,,,,5.2114559549477034e-05
NO0003055501,,58258.9764481644,,,,,,Quasi Play,,,,,,,5.158489974401073e-05
US43289P1066,,58012.865,,,,,,Quasi Play,,,,,,,5.136698252071879e-05
SE0008374250,,57277.95928812031,,,,,,Quasi Play,,,,,,,5.071626670352032e-05
TW0005371009,,55877.425163261505,,,,,,Quasi Play,,,,,,,4.947617604584821e-05
CH0033361673,,53499.76212525289,,,,,,Quasi Play,,,,,,,4.7370895161796944e-05
US1572101053,,52082.88159363999,,,,,,Quasi Play,,,,,,,4.611633072162824e-05
TW0003227005,,50768.2529969256,,,,,,Quasi Play,,,,,,,4.495230436042948e-05
KR7008060006,,49772.0283311322,,,,,,Quasi Play,,,,,,,4.4070205967348594e-05
KR7033640004,,44804.827152559104,,,,,,Quasi Play,,,,,,,3.96720412479082e-05
TW0008150004,,43023.341433094894,,,,,,Quasi Play,,,,,,,3.80946403418742e-05
TW0002392008,,42404.988824611,,,,,,Quasi Play,,,,,,,3.7547125447865215e-05
US83409V1044,,6149.2391268,,,,,,Quasi Play,,,,,,,5.444789853803216e-06
