ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US1894641000,,97.20336017,5G Infrastructure & Hardware,,,,,,,,,,,
US03152W1099,,41.23259229,5G Infrastructure & Hardware,,,,,,,,,,,
US4529071080,,37.26684327,5G Infrastructure & Hardware,,,,,,,,,,,
US29664W1053,,33.14409232,5G Infrastructure & Hardware,,,,,,,,,,,
US0327241065,,25.42868317,5G Infrastructure & Hardware,,,,,,,,,,,
US7504692077,,32.84252827,5G Infrastructure & Hardware,,,,,,,,,,,
US0143391052,,15.19714085,5G Infrastructure & Hardware,,,,,,,,,,,
US5488621013,,34.31991314,5G Infrastructure & Hardware,,,,,,,,,,,
US69366J2006,,19.69712062,5G Infrastructure & Hardware,,,,,,,,,,,
US40637H1095,,22.84228926,5G Infrastructure & Hardware,,,,,,,,,,,
US62857M1053,,22.97200924,5G Infrastructure & Hardware,,,,,,,,,,,
JE00BYSS4X48,,18.49696615,5G Infrastructure & Hardware,,,,,,,,,,,
US5588681057,,10.96570679,5G Infrastructure & Hardware,,,,,,,,,,,
US24983L1044,,13.44544096,5G Infrastructure & Hardware,,,,,,,,,,,
US0044491043,,12.26947947,5G Infrastructure & Hardware,,,,,,,,,,,
US00900T1079,,13.61951801,5G Infrastructure & Hardware,,,,,,,,,,,
US88322Q1085,,12.48000864,5G Infrastructure & Hardware,,,,,,,,,,,
US19459J1043,,9.99536888,5G Infrastructure & Hardware,,,,,,,,,,,
US5034596040,,11.64405378,5G Infrastructure & Hardware,,,,,,,,,,,
US7613301099,,11.10471291,5G Infrastructure & Hardware,,,,,,,,,,,
US60468T1051,,11.86361266,5G Infrastructure & Hardware,,,,,,,,,,,
US56854Q1013,,10.06145877,5G Infrastructure & Hardware,,,,,,,,,,,
US6515111077,,21.37847342,5G Infrastructure & Hardware,,,,,,,,,,,
BMG0750W2037,,13.62061151,5G Infrastructure & Hardware,,,,,,,,,,,
KYG8807B1068,,6.350171697,5G Infrastructure & Hardware,,,,,,,,,,,
US05070R1041,,8.501029563,5G Infrastructure & Hardware,,,,,,,,,,,
US4622601007,,5.876375229,5G Infrastructure & Hardware,,,,,,,,,,,
VGG111961055,,8.221772911,5G Infrastructure & Hardware,,,,,,,,,,,
US2060221056,,6.545486502,5G Infrastructure & Hardware,,,,,,,,,,,
US38000Q1022,,8.672918916,5G Infrastructure & Hardware,,,,,,,,,,,
US29251M1062,,9.191280716,5G Infrastructure & Hardware,,,,,,,,,,,
US23257D1037,,6.079508222,5G Infrastructure & Hardware,,,,,,,,,,,
US04351P1012,,6.587732732,5G Infrastructure & Hardware,,,,,,,,,,,
US4831191030,,4.53562952,5G Infrastructure & Hardware,,,,,,,,,,,
US23284F1057,,7.116038103,5G Infrastructure & Hardware,,,,,,,,,,,
US05463X1063,,6.148914465,5G Infrastructure & Hardware,,,,,,,,,,,
NL0010696654,,8.585224541,5G Infrastructure & Hardware,,,,,,,,,,,
US09058V1035,,7.091462344,5G Infrastructure & Hardware,,,,,,,,,,,
US00461U1051,,8.09170118,5G Infrastructure & Hardware,,,,,,,,,,,
IL0011407140,,3.731170214,5G Infrastructure & Hardware,,,,,,,,,,,
US29428V1044,,8.51269933,5G Infrastructure & Hardware,,,,,,,,,,,
US0453961080,,4.473740043,5G Infrastructure & Hardware,,,,,,,,,,,
US50127T1097,,7.276509722,5G Infrastructure & Hardware,,,,,,,,,,,
US4811161011,,3.336156807,5G Infrastructure & Hardware,,,,,,,,,,,
US48283N1063,,2.092117642,5G Infrastructure & Hardware,,,,,,,,,,,
CA05156V1022,,6.521447062,5G Infrastructure & Hardware,,,,,,,,,,,
US92915B1061,,7.183072331,5G Infrastructure & Hardware,,,,,,,,,,,
US00972L1070,,7.407077564,5G Infrastructure & Hardware,,,,,,,,,,,
US7612991064,,6.132015672,5G Infrastructure & Hardware,,,,,,,,,,,
SG9999014716,,4.534835035,5G Infrastructure & Hardware,,,,,,,,,,,
US24344T1016,,5.363039698,5G Infrastructure & Hardware,,,,,,,,,,,
US00448Q2012,,8.151242886,5G Infrastructure & Hardware,,,,,,,,,,,
US5560991094,,4.851198713,5G Infrastructure & Hardware,,,,,,,,,,,
US98419J2069,,4.634884193,5G Infrastructure & Hardware,,,,,,,,,,,
US00653A1079,,2.771389662,5G Infrastructure & Hardware,,,,,,,,,,,
US00972D1054,,5.903346923,5G Infrastructure & Hardware,,,,,,,,,,,
US67022C1062,,2.219463858,5G Infrastructure & Hardware,,,,,,,,,,,
US2530311081,,2.069856464,5G Infrastructure & Hardware,,,,,,,,,,,
US7207951036,,2.709185108,5G Infrastructure & Hardware,,,,,,,,,,,
US87164F1057,,2.02326829,5G Infrastructure & Hardware,,,,,,,,,,,
US00739L1017,,4.409257543,5G Infrastructure & Hardware,,,,,,,,,,,
US13089P1012,,7.266347825,5G Infrastructure & Hardware,,,,,,,,,,,
US87184Q1076,,3.313127187,5G Infrastructure & Hardware,,,,,,,,,,,
IE00BYZ5XL97,,1.186770013,5G Infrastructure & Hardware,,,,,,,,,,,
US74366E1029,,1.845119033,5G Infrastructure & Hardware,,,,,,,,,,,
US8162121045,,2.533361176,5G Infrastructure & Hardware,,,,,,,,,,,
US21887L1070,,1.904169294,5G Infrastructure & Hardware,,,,,,,,,,,
US01345P1066,,1.033761126,5G Infrastructure & Hardware,,,,,,,,,,,
US16383L1061,,1.177436379,5G Infrastructure & Hardware,,,,,,,,,,,
US8051111016,,1.634797298,5G Infrastructure & Hardware,,,,,,,,,,,
US03753U1060,,2.938756587,5G Infrastructure & Hardware,,,,,,,,,,,
US58549G2093,,2.498082381,5G Infrastructure & Hardware,,,,,,,,,,,
US76243J1051,,7.246113445,Telecommunications Service Providers,,,,,,,,,,,
US14888U1016,,3.042221422,Telecommunications Service Providers,,,,,,,,,,,
US0396971071,,4.160936001,Telecommunications Service Providers,,,,,,,,,,,
US3621LQ1099,,2.678821614,Telecommunications Service Providers,,,,,,,,,,,
IL0011327454,,1.722708234,Telecommunications Service Providers,,,,,,,,,,,
NL0012661870,,1.755935437,Telecommunications Service Providers,,,,,,,,,,,
US98887Q1040,,5.394921049,Telecommunications Service Providers,,,,,,,,,,,
US81750R1023,,2.256234199,Telecommunications Service Providers,,,,,,,,,,,
US6085501095,,1.115194478,Telecommunications Service Providers,,,,,,,,,,,
US59045L1061,,1.056127561,Telecommunications Service Providers,,,,,,,,,,,
US68404V1008,,3.806861227,Telecommunications Service Providers,,,,,,,,,,,
IE00BYQMW233,,4.510021576,Telecommunications Service Providers,,,,,,,,,,,
US14757U1097,,1.793175086,Telecommunications Service Providers,,,,,,,,,,,
