ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC),Weight,Cap,Flag
DK0060094928,,40576224.68,,,,,,Common stock,,,1.624058655,,,,,,,,,2.0,1,1
CLP371861061,,16590348.58,,,,,,Common stock,,,3.5293471760000004,,,,,,,,,6.0,1,0
PTEDP0AM0009,,15057336.63,,,,,,Common stock,,,5.196205368999999,,,,,,,,,6.0,1,0
BREGIEACNOR9,,9508984.51,,,,,,Common stock,,,1.391199481,,,,,,,,,2.0,1,1
AU000000AGL7,,9168631.804,,,,,,Common stock,,,8.184870864,,,,,,,,,5.650021427817664,1,0
NZMELE0002S7,,8415771.969,,,,,,Common stock,,,5.529047675,,,,,,,,,5.186083700703623,1,0
BMG162581083,,8314095.477999999,,,,,,Common stock,,,4.482664167,,,,,,,,,5.123427203514512,1,0
CA0158571053,,7298627.275,,,,,,Common stock,,,3.886305227,,,,,,,,,4.497661306391844,1,0
CL0002266774,,6564356.701,,,,,,Common stock,,,5.7531445,,,,,,,,,4.5,3,2
KYG9829N1025,,5601487.44,,,,,,Common stock,,,2.049960263,,,,,,,,,3.9468226130590436,0,0
US4511071064,,5304284.25,,,,,,Common stock,,,2.4210327169999997,,,,,,,,,3.737412472711521,0,0
US4198701009,,4912502.84,,,,,,Common stock,,,2.866817162,,,,,,,,,3.4613622726660562,0,0
IT0001207098,,4503245.887,,,,,,Common stock,,,3.9287952280000003,,,,,,,,,3.172998759589601,0,0
NZMRPE0001S2,,4401342.182,,,,,,Common stock,,,5.225685112,,,,,,,,,3.1011971441157473,0,0
CA6665111002,,3748235.212,,,,,,Common stock,,,4.345386106,,,,,,,,,2.641016275095987,0,0
RU000A0JPKH7,,3559546.369,,,,,,Common stock,,,6.938301322999999,,,,,,,,,2.5080656257619687,0,0
US6680743050,,3518173.78,,,,,,Common stock,,,3.2532530339999997,,,,,,,,,2.4789143919914625,0,0
US88104R2094,,3417012.2,,,,,,Common stock,,,5.0265822380000005,,,,,,,,,2.4076356797219978,0,0
NZCENE0001S6,,3407632.61,,,,,,Common stock,,,6.627447763999999,,,,,,,,,2.4010267962227916,0,0
US65341B1061,,3227917.209,,,,,,Common stock,,,3.734813895,,,,,,,,,2.2743988574512684,0,0
IT0001157020,,3208670.5919999997,,,,,,Common stock,,,4.040094688,,,,,,,,,2.2608376410754114,0,0
US05379B1070,,3172060.5,,,,,,Common stock,,,4.0973997660000006,,,,,,,,,2.235042075072719,0,0
CLP3615W1037,,2981343.74,,,,,,Common stock,,,4.366822364,,,,,,,,,2.1006625501482907,0,0
CA8934631091,,2975830.497,,,,,,Common stock,,,6.3585895489999995,,,,,,,,,2.096777904797075,0,0
GB00B8SC6K54,,2934635.525,,,,,,Common stock,,,4.687098934,,,,,,,,,2.0677518204265395,0,0
GG00BBHX2H91,,2773460.65,,,,,,Common stock,,,5.085439251,,,,,,,,,1.9541875844765677,0,0
US70338P1003,,2674092.8,,,,,,Common stock,,,6.175233292000001,,,,,,,,,1.88417273902847,0,0
GB00BLP5YB54,,2584746.23,,,,,,Common stock,,,5.891472969,,,,,,,,,1.821218913521854,0,0
US41068X1000,,1983777.6,,,,,,Common stock,,,4.586052938,,,,,,,,,1.3977748544161686,0,0
CNE100000HD4,,1955585.514,,,,,,Common stock,,,2.666150115,,,,,,,,,1.3779106373263408,0,0
CNE100000WS1,,1946662.834,,,,,,Common stock,,,1.689568446,,,,,,,,,1.3716236938010171,0,0
CA09950M3003,,1802165.1619999998,,,,,,Common stock,,,2.7362561260000002,,,,,,,,,1.2698102584424993,0,0
CA45790B1040,,1783855.725,,,,,,Common stock,,,4.074754017,,,,,,,,,1.2569093815311372,0,0
IT0003198790,,1483825.565,,,,,,Common stock,,,1.377101608,,,,,,,,,1.045507350772014,0,0
DE0006095003,,1361597.491,,,,,,Common stock,,,2.693897208,,,,,,,,,0.9593851320611472,0,0
TH7411010005,,1092562.142,,,,,,Common stock,,,3.6580126760000002,,,,,,,,,0.7698221257134203,0,0
CNE100000PP1,,837467.7181,,,,,,Common stock,,,3.1665030219999997,,,,,,,,,0.5900819314349898,0,0
US18539C1053,,642176.0,,,,,,Common stock,,,5.0188681,,,,,,,,,0.45247887913925305,0,0
