ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,count,weight
US13089P1012,,7.266347825,c,,,,,,,,,,,,16.0,0.015625
US87184Q1076,,3.313127187,c,,,,,,,,,,,,16.0,0.015625
IE00BYZ5XL97,,1.186770013,c,,,,,,,,,,,,16.0,0.015625
US74366E1029,,1.845119033,c,,,,,,,,,,,,16.0,0.015625
US8162121045,,2.533361176,c,,,,,,,,,,,,16.0,0.015625
US21887L1070,,1.9041692940000001,c,,,,,,,,,,,,16.0,0.015625
US01345P1066,,1.033761126,c,,,,,,,,,,,,16.0,0.015625
US16383L1061,,1.177436379,c,,,,,,,,,,,,16.0,0.015625
US8051111016,,1.634797298,c,,,,,,,,,,,,16.0,0.015625
US03753U1060,,2.938756587,c,,,,,,,,,,,,16.0,0.015625
US58549G2093,,2.498082381,c,,,,,,,,,,,,16.0,0.015625
US76243J1051,,7.246113445,c,,,,,,,,,,,,16.0,0.015625
US14888U1016,,3.042221422,c,,,,,,,,,,,,16.0,0.015625
US0396971071,,4.1609360010000005,d,,,,,,,,,,,,11.0,0.022727272727272728
US3621LQ1099,,2.678821614,d,,,,,,,,,,,,11.0,0.022727272727272728
IL0011327454,,1.722708234,d,,,,,,,,,,,,11.0,0.022727272727272728
NL0012661870,,1.755935437,d,,,,,,,,,,,,11.0,0.022727272727272728
US98887Q1040,,5.394921049,d,,,,,,,,,,,,11.0,0.022727272727272728
US81750R1023,,2.256234199,d,,,,,,,,,,,,11.0,0.022727272727272728
US6085501095,,1.115194478,d,,,,,,,,,,,,11.0,0.022727272727272728
US59045L1061,,1.056127561,d,,,,,,,,,,,,11.0,0.022727272727272728
US68404V1008,,3.8068612269999997,d,,,,,,,,,,,,11.0,0.022727272727272728
IE00BYQMW233,,4.510021576000001,d,,,,,,,,,,,,11.0,0.022727272727272728
US14757U1097,,1.793175086,d,,,,,,,,,,,,11.0,0.022727272727272728
