index_id,tickers,date,shares
1,BTC,02/28/2019,88.0871849370
1,EOS,02/28/2019,4549.4080402720
1,ETH,02/28/2019,526.7800168850
1,XRP,02/28/2019,207589.0604901700
2,BTC,02/28/2019,153.8625236590
2,EOS,02/28/2019,158432.1219520180
2,ETH,02/28/2019,4133.7511194130
2,XRP,02/28/2019,1914548.9164264800
